stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,10.06,237.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.19,179.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.41,0,0,0,0,0,0,0,0,0,24.41,0,0,0,3.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,37.95,14.5,0,0,15.52,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0.9,0,0,0,0.88,0,0,0
 24-34,0,0,0,0.67,0,0,0,6.5,0,0,0,0,2.53,0,0,0,0,0,0,2.87,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.31,0.57,0.55,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0.59,0,0,0
 60-70,0,0,0,0,0,0.99,1.21,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.7,0
 72-82,0,0,0,0,0.52,0,0,0,12.6,0.65,1.36,0,0.66,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.25,6.9,0,0,0,18.29,0,0.78,1.02,2.48,0,0,0,0,0.69,0,0,0,0,3.62,0.64
 96-106,0,0,0,1.65,0,0,3.32,0,82.76,0,0.62,1.6,0,0,0.73,0,0,1.35,0,0,0,0,0,0
108-118,0,0,0,2.55,0,0,0,0,97.73,0,0.47,1.44,14.02,0,0,0,0,0.56,0,0,0,0.43,0.59,0.43
120,0,0,0,0,2.58,0,0,0,125.74,0,0,0,13.07,0,0,1.02,0,0,6.93,0,0,0,0,0
