stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,57.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.45,0,0,8.12,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.81,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.29,0,30.22,0,34.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.88,31.08,0,0,48.01,0,0,0,5.64,77.67,0,0,0,0,0,0,0
 14-21,0,0,2.22,2.71,13.52,84.72,0,0.88,0,0,0,1.18,0.84,0,0.84,0,0,0,0,6.43,0,50.26,0,0,47.22,105.3,0.81,0,1.78,1.74,0,0.85,0.9,12.14,30.31,17.74,37.6,0,0,21.86,0,0
 24-34,0,0,1.1,1.54,5.5,4.51,0,16.74,0,0,11.45,12.45,0,0,4.93,0,0,0,0.78,6.5,0,216.52,1.03,0,100.38,872.1,0,4.6,6.16,0,0,0,0,0.95,3.87,9.91,105.61,0,0,106.38,0,5.35
 36-46,0,0,0,0,3.58,0.71,0,104.22,0,0,27.97,24.18,0.95,0,4.29,0,0,0,0.99,7.34,1.47,261.78,0,10.03,58.67,2986.55,0.69,8,1.41,0,0,15.25,0,0,1.63,0,302.17,0,0,95.18,0,0
 48-58,0,0,0.44,0,12.04,0,0,436.66,0.62,0,36.47,118.35,0,0,1.15,0.57,0.46,2.33,0.44,3.19,3.49,377.57,0.59,2.51,49.02,3889.67,0,5.5,2.71,0,0,0,0,0,0,0,471.6,0,0.42,63.35,0,6.74
 60-70,0,0,0.86,0,15.2,0.65,0,495.34,0,3.4,34.18,155.6,2.34,0,1.34,0,0,1.16,1.02,9.79,0,400.53,0,2.79,19.91,3525.58,0,3.04,5.24,0,0,18.41,0,0,1.99,0,431.65,0,1.23,36.9,0,2.64
 72-82,0,0,2.55,0,11.94,2.38,0,427.62,0,0,51.41,193.37,1.3,0,1.86,0,0,2.96,0.92,0.55,6.69,568.86,0,2.89,21.47,2370.99,0,1.47,3.97,0,0,11.9,0,0,0.73,0,168.89,0.91,2.36,58.2,3.38,21.23
 84-94,0,0,0,0,10.53,5.2,0.59,292.54,1.97,1.12,32.6,130.75,6.89,0,6,1.71,0,0.67,1.41,5.67,0,332.36,0,6.65,17.68,1601.36,0,4.08,6.3,0,5.14,2.58,0,0,7,0,114.46,0,2.98,80.68,3.37,0
 96-106,0,0,2.25,0,9.52,38.9,0,176.58,2.37,2.81,30.63,122.71,7.4,0,2.19,0.61,6.88,0,0,21.48,0,329.17,0,0,7.05,1270.39,0,4,1.22,0,11.19,10.49,0,0,3.87,0,53.27,0,2.66,28.05,1.91,2.47
108-118,0,0,1.1,0,18.25,7.47,2.62,191.88,0.67,0,24.82,121.09,4.23,0,2.18,0,2.68,7.36,0.69,19.96,0,282.69,0,13.14,11.65,1377.62,0,2.66,8.96,0,4.62,4.81,0,0,4.47,0,50.67,0.62,0,38.66,0.49,0
120,0,0,0,0,25.98,4.75,3.21,230.71,1.21,0,33.53,272.6,1.93,5.2,2.27,0,0,1.11,3.53,16.5,0,310.81,0,1.26,8.82,2187.79,3.99,12.84,0,0,9.21,1.54,0,0,5.36,0,13.56,0,3.8,45.48,3.35,0
