stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,33.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.85,0,0,16.42,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,57.6,0,0,0,61.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.94,0,17.58,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.04,14.51,0,0,238.06,0,0,5.95,0,0,0,4.89,0,0,0,0,0
 14-21,0,0,1.14,87.01,14.46,11.97,0,0,0,0,1.69,0,0,0,0.89,0,0,0,25.2,0,17.56,141.64,2.36,0,3.78,0.98,0,0,0,92.59,1,466.12,152.51,35.19,0,0.87,0,1.49
 24-34,0,0,1.3,11.33,0.91,5.58,0,0,2.45,0,0,0,0.86,0,0,0.83,0,0.62,22.25,0,9.11,98.03,0,0,0,0,0,1.1,0,2.17,0,75.49,8.57,24.54,0,7.37,0,4.42
 36-46,0,0,0,5.01,0,11.98,0,0,0.82,4.91,0,0,0,0,0,1.21,0,0,5.57,0,4.99,62.2,5.55,2.85,0.63,0,0,0,0,0,0,0.84,0,17.64,0,0,0,8.68
 48-58,0,0,0,0.57,0,32.7,0,0,0.56,4.09,0,0,0,0,0,1.73,0,0,16.13,0,2.01,41,5.34,0,0,0,0,18.34,0,0,0,3.54,0,10.03,0,1.39,0,3.8
 60-70,0,0,0,3.26,0,27.98,2.87,0,0,8.58,0,0,0,0,0,9.73,0,0,4.39,0,0,38.84,11.75,0,0,0,0,0,0,0,0,1.58,0,9.85,0.6,0,0,9.67
 72-82,0,0,0,0.67,0,58.26,0,0,1.09,12.22,0,0,0,0,0,2.79,0,0,2.97,1.64,0.58,29.91,2.01,0,0,0,0,0.49,0,0,0,0,0,3.93,0,0,0,1.1
 84-94,0,0,0,0,0,25.25,0.67,0,0,9.52,0,0,1.66,0,0.83,11.44,0,0,7.65,1.31,0.7,18.16,8.24,0,0,0,0.77,0.65,0,0,0,0,0,0.94,1.63,0.83,0,3.39
 96-106,0,1.1,0,0.67,0,24.99,0,0,0,7.8,0,0,0,0.73,0,7.54,1.54,0,10.36,0.93,5.53,7.56,6.81,1.62,1.07,0,0,2.56,0,0,0,2.82,0,3.42,0,5.09,0,0
108-118,0,0,0,0.88,0.69,17.59,0.55,2.42,0,11.29,0,0,0,0,0.75,13.56,0,0,4.46,0,4.36,18.73,10.6,1.36,0,0,3.27,1.58,0,0,0,1.3,0,0,0,0,0,7.19
120,0,0,0,0,0,20.57,1.01,1.39,4.44,3.36,0,0,0,0,1.65,12.88,0,0,0,0,0,42.16,23.61,0,0,0,0,4.35,0,0,0,1.21,0,0,0,0,1.43,0
