stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,10.53,217.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0
  5-6,0,91.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,8.45,0,0,4.66,0,5.5,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.7,1.31,0,1.75,0,0,1.14,15.36,0,0,0,0,0,0,1.08,1.01,0,0,0,6.79,0,0,0,0,1.11,0,0,0,5.97,0,0,0
 24-34,0,0,0,0,0,0,0.78,1.71,0,0,0,0,2.67,0,0,0.96,0,0,3.44,0,2.43,1.56,18.23,0,1.44,0,0,0.8,0,0,0.6,11.1,0,0,1.33
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,15.5,0,0,0.7,42.14,0,0,0,0,1.27,0,1.46,0,10.79,0,0,3.99
 48-58,0,0,0,0,0,93.33,0,0,0,0,8.7,0,6.48,0,0,1.42,0,0,14.9,0,0,0,41.78,0,1.41,0,0,0,0,0,0,5.54,0,0,8.72
 60-70,0,0,0,0,0,353.57,0,0,0,0,0,0,11.76,0,0,0.88,0,0,23.73,0,10.43,0,78.18,0,0,0,0,0,0,0.58,0,8.15,0,2.79,8.43
 72-82,0,0,0,7.6,0,533.44,0,0,2.78,0.53,0,1.07,10.96,0,0,0,0.88,0,7.94,0,0,0,43.58,0,0,0,0,0,0,0,0,0,0,8.01,20.21
 84-94,0,0,0,7.09,0,230.97,0,0,14.87,2.38,0,0.97,24.05,0,0,0.69,0,0,8.91,0,0.57,1.01,71.7,0,0,1.19,0,0,0,0,0,1.97,0,1.23,15.15
 96-106,0,0,0,1.76,0,235.95,0,0.76,0.96,0,0,0.92,19.14,0.56,0.75,0,0,0,8.98,0.71,0,0,31.78,0,0.95,0.73,0,0,0,0,0,0,0,0,14.28
108-118,0,0,1.21,1.59,0,180.68,0,1.21,2.08,1.63,0,0,21.9,0,0,0,4.97,0,27.88,0,0,0,54.4,0,0,0.91,0,0.57,0,0,0,0,0.83,5.54,14.46
120,0,0,0,8.8,0,16.44,0,0,8.05,0,0,0,17.02,0,0,1.72,0,0,7.4,1.65,7.65,0,54.56,0,0,2,0,0,0,0,0,0,0,0,8.87
