stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.33,653.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,175.67,2139.25,19.66,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,173.61,0,0,0,28.58,18.68,0,0,0,0,0,0,0,0,0
  7-9,48.51,60.45,178.84,0,0,0,34.96,0,0,0,0,0,33.47,0,0,0,0,0,0,0,0,0,0,1489.47,58.02,0,0,610.76,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,60.17,71.12,0,29.9,0,18.98,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,725.73,28.6,0,0,419.28,0,5.33,0,26.29,0,5.78,0,0,0,0
 14-21,0,0,0,10.47,9.03,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,5.87,0,2.06,12.77,0,0,0.95,0,0,0,8.66,0,1.15,0.94,3.08,1.16,0,0
 24-34,0,0,0,6.74,0,0,4.74,1.84,0,0.69,0,0.67,0,0,0.99,0.73,0,0,0,0,11.83,0,4.79,36.35,0,0,0,0,1.22,0,0,0,1.35,11.28,2.42,9.73,0,0
 36-46,0,0,0,1.23,0,0,1.11,10.87,0,1.09,0,0,0,0,0,0,0,0.61,0,0,16.16,0,6.38,27.05,0,3.16,0.63,0,0.58,0,0,0.86,20.95,0.66,8.93,0.67,0,0
 48-58,0,0,0,1.65,0,0,13.14,7.77,0,0.83,5.01,0,0,0,1.23,0,0,0,0,1.85,16.38,0,3.86,18.9,0,0,0.81,0,7.08,0,0,0,11.71,0,3.51,2.55,0,0.4
 60-70,0,0,0,6.64,0,0,16.04,5.33,0,0.87,1.62,0,0,0,0,0,0,0,0,0,34.7,1.33,4.14,16.87,0,1.08,3.02,0,0,0,0,0,13.43,0,10.72,1.5,0,0
 72-82,0,0,0.56,0.93,0,0,7.04,19.29,0,1.25,8.39,4.47,0,0,1.77,0,0,0,0,0,36.9,0,5.49,30.4,0,0.75,3.83,4.01,1.03,0,0,0,1.89,0,8.5,2.46,0.7,14.07
 84-94,0,0,0,1.99,0,0,5.72,10.86,0,1.81,10.3,1.22,0,0,1.18,0,5,1.5,0,0,45.08,0,8.72,12.16,0,1.86,0.88,0,6.36,0,0,0,5.73,0,1.05,0,0,0
 96-106,0,0,0,3.71,0,0,3.05,4.29,0,1.52,9.54,8.43,0,0,2.78,0,0,0.97,10.52,0,23.26,0,5.5,22.91,0.91,1.7,3.15,0,19.96,0,0,0.87,5.21,0,3.09,1.48,0,2.72
108-118,0,0,0,10.72,8.8,1.37,9.31,6.87,1.23,0.52,31.59,4.16,0,1.35,3.8,0,2.27,1.67,0,1.6,47.66,0.83,4.71,11.69,0,1.66,3.63,0,5.44,0,0,0.93,5.01,0,7.48,6.17,0,2.17
120,0,0,0,3.44,0,0,11.35,20.78,1.37,0,78.53,17.3,0,0,20.44,0,0,1.88,1.1,0,87.75,2.13,3.25,16.77,0,12.85,7.22,0,40.43,0,0,0,9.93,0,19.92,3.19,0,0
