stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.11,647.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.65,984.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,12.41,0,7.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.92,28.73,63.78,0,0,144.61,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,763.56,23.17,0,0,226.86,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.44,44.25,0,0,96.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.39,16.22,0,0,297.46,0,0,5.33,0,6.11,0,0,3.51,0,0,0,0,0
 14-21,0,0,0.8,10.44,3.99,12.46,0,0,0,4.98,1.84,0,0,0,0,0,0,0,0,15.74,0,0,8.15,144.43,2.87,0,0,7.31,0,0,0,14.93,1.1,0,15.67,51.95,0,0,0,0,0
 24-34,0,0,1.56,10.28,0,36.2,0,0,1.45,3.95,3.73,0,0,0,0.62,0,0,0,0.62,33.35,0,0,17.05,490.72,0.6,0,4.85,0,0,3.67,0,0,0,0,4.26,130.56,0,0,5.04,0,0
 36-46,0,0,0,3.73,0,66.72,0,2.74,0.75,29.13,0,0,0.87,0,0,0,0.61,0.83,0,59.9,0,0,10.18,536.94,2.61,2.78,0.72,0,0,15.45,0,0,2.77,0,0,107.27,0,0,4.07,0,0
 48-58,0,0,0,2.52,0,94.02,1.13,0.62,3.86,28.04,0,0,1.61,1.28,0,0.62,0.46,0,0.78,57.73,0,0.44,3.87,390.99,0.45,0.47,0.66,0,0,1.22,0,0,3.95,0,0,83.07,0,0.44,1,0,2.73
 60-70,0,0,0,14.35,0,124.89,0.73,0,1.72,32.43,1.9,0,0,0,0,0,0,2.11,0,69.06,0,0.59,4.23,338.85,0,1.54,0,0,0,7.61,0,0,1.84,0,0,46.07,0,0.67,4.06,0,7.94
 72-82,0,0,0,1.99,0.54,93.62,0.95,0.91,10.44,17.51,0.53,0,0,1.72,0,0,0,1.2,0,45.56,0,0,6.29,199.2,1.1,2.21,1.37,0,1.12,7.41,0,0,0,0,0,15.57,0,0,2.99,0,1.71
 84-94,0,0,0,3.17,0.64,62.6,0.56,0,0,22.82,0.82,0.76,0,2.49,0.78,1.72,1.46,0.74,0,40.16,1.22,0.57,2.39,155.57,0,0,2.67,0,0,8.52,0,0,2.25,0.73,0,4.43,2.99,4.5,17.85,0,0
 96-106,0,0,0,2.86,0,66.21,1.61,0,2.46,28.98,1.99,0,1.45,1.84,0,0,0.92,1.13,1.8,54.51,0,0.69,7.93,106.13,0,3.91,2.39,0,1.16,5.5,0,0,0,0,0,8.76,0,0,3.05,4.46,0
108-118,0,0,0.74,3.7,2.25,52.4,1,0.6,0.83,28.94,0.6,0,1.62,3.11,0,6.65,0,0.67,0.58,42.27,0.54,0,6.99,223.9,0.49,1.4,6.45,0,1.58,1.61,0,0,0,0,0,5.28,2.82,0.63,6.42,1.72,1.35
120,0,0,0,5.43,0,45.22,0,0,4.69,8.36,1.91,0,6.72,2.75,1.4,0,1.77,0,0,46.66,0,0,9.43,135.86,0,7.74,3.94,0,0,5.42,0,0,0,0,0,2.78,0,0,0,0,0
