stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.88,0,3.76,1.35,0,0
 24-34,0,0.6,0,0,0,0,0,0.87,0,0,0,2,6.96,0,1.86,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,8.76,3.05,0.58,1.34
 48-58,0,0,0,0,6.97,0,0.91,0,0,0,0,0,9.05,0,2.63,0
 60-70,0,0,0,0,1.41,0,0,0,0,0,0,0,16.65,0,0,0
 72-82,0,0,0,0.76,46.76,0,0,0,0,0,4.91,0,17.05,0,0,0
 84-94,0,0,6.25,0,42.2,3.54,0.86,0,0,0,0,0,18.89,0,0,0
 96-106,0,0,0,0,155.81,0,0,0,0.8,0,0,0,20.09,2.9,0,0
108-118,0,0,0.56,0,55.91,4.82,0,0,0,0.43,5,0,11.84,1.26,1.97,0
120,0,0,0,0,160.14,0,0,0,0,0,0,0,17.83,1.25,0,0
