stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,70.54,72.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,224.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.5,0,3.5,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,91.04,4.22,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.73,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,121.43,0,0,0,21.4,0,0,0,9.7,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,17.9,4.6,7.37,0.87,0,3.6,3.45,3.11,0,0,0,0.92,0,7.77,0,9.62,82.22,5.19,6.46,0.93,0,0,2.59,5.73,4.51,6.03,37.47,0,0,2.73,0,0
 24-34,0,0,0,0,9.6,1.97,7.49,0,0,2.15,0,0,0,0,0,0,0,24.16,0,2.88,79.95,0,2.73,0.95,0,0,3.39,0,3.46,0,16.18,0,0,4.42,0,0
 36-46,0,0,0,0,0,0,25.36,0,0,0.8,0,0,0,0,0,0,0,11.38,0,6.4,138.39,0,7.76,0.61,0,0,9.22,0,0,0,24.93,0,0,0.91,0,0
 48-58,0,0,0,0,0,0,50.06,0,1.73,3.01,0,1.68,0,0,0,0.51,0,13.05,0.38,2.88,133.69,0,3.42,0.96,0,0,2.51,0,0,0,15.13,0,0,2.43,0,0
 60-70,0,0,0,0,1.19,0,121.28,0,0,1.99,0,0,0,0,0,0,0,23.46,0,2.61,185.97,0,14.03,0.59,0,0,0,0,0,0,28.12,0,2.25,0,1.13,0
 72-82,0,0,0,0,1.45,1.93,105.51,0.81,0,3.17,0,0,0.55,0,0,0,0,29.94,0.76,2,176.15,0,9.41,3.23,0,0,0,0,0,0,28.51,0,0,3.56,0.62,0
 84-94,0,0,0,0,1.8,0,55.32,0,0.71,1.05,0,0.85,0.73,1.84,0,0,3.35,28.16,3.25,0.58,127.74,4.96,5.79,0,0,0,0.77,0,0,0,11.03,0,0,0,0,0
 96-106,0,0,1.05,0,2.78,3.19,25.42,1.35,1.02,18.23,0,0.92,0.96,0,0,1.05,7.59,13,0,0.62,129.91,0,11.25,0.64,0,0,0.93,0,0,0,12.9,0.67,0.96,8.54,0,0
108-118,0,0,0.76,0,2.01,0,42.53,1.58,0,5.89,1.45,0,0,0.49,0.73,2.85,1.23,33.77,1.13,1.04,167.66,0,7.2,1.76,0,2.26,4.32,0,0.52,0,12.5,1.09,0,1.68,0,2.62
120,0,0,0,0,0,0,35,4.2,0,0,0,0,0,2.36,0,0,0,41.03,0,1.32,228.86,0,18.57,3.96,0,0,0,0,0,0,9.05,0,0,0,0,0
