stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,11.24,0,0,0,8.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.49,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,1.04,0,0,6.36,11.08,0,0,0,0,0,0,2.77,0,3020.14,30.19,0.91,0,0,0,0,0
 24-34,0,0,9.13,0,0,3.48,258.92,0.83,0.83,1.45,0,0,5.7,2.11,0,0.98,2.18,1.47,34.08,0,0,49.48,146.75,0.76,1.27,0,0,9.99,0,0,1.45,2916.72,45.84,21.27,0,0,1.26,0,6.71
 36-46,0,0,0.79,0,0,6.65,352.99,0,1.45,6.07,0,0,13.1,0,0,0,0,0,11.18,0,0,10.11,126.39,0,0,0,0,4.74,0,0,0,1535.69,5.36,24.54,0,0,0,0,3.23
 48-58,0,0,0.91,0,0,28.94,198.92,0.56,6.59,6.2,0,0,17.16,0,0,3.35,0,0,9.32,0,1.02,11.73,70.53,0,0,0,0,0,0,0,0,627.71,0,9.52,0,0,1.93,0,13.71
 60-70,0,0,0,0,0,7.64,102.59,0,11.65,7.6,0,0,11.72,0,0,0,0,0,8.39,0,0,9.29,23.89,0,0,0,5.67,0,0,0,0,166.48,0,18.71,0,0,0,0,0
 72-82,0,0,0,2.93,0,9.05,195.33,0,9.17,7.78,0,0,0.75,0,0,0,0,1.69,13.5,0,0,3.62,53.84,0,0,0,0,0,0,0,0,76.96,0,0,0,0,1.24,2.06,0
 84-94,0,0,1.82,0.72,0,19.21,414.33,0,4.45,5.23,0,0,0.94,0,0,0,0,0,6.9,4.49,0,25.58,20.26,0,0,0.55,0,3.23,0,0,0,128.51,0,0,0,0.56,0.57,0,0
 96-106,0,0,3.29,8.59,1.61,64.23,699.28,5.63,11.81,7.71,3.18,0,33.87,0,0,0,7.35,0,13.21,0,3.52,94.07,37.93,0,0,0.59,0,13.08,3.39,0,0,154.45,0,0,2.03,0,5.28,0,8.68
108-118,0,0,2.81,0.9,2.75,33.24,775.95,0,2.4,5.93,2.87,0,10.77,1.11,0,0,0,0,9.08,0,0,17.62,34.08,0,0,0,0,0.56,0,0,0,123.87,0,8.85,0,0,1.88,0,7.19
120,0,7.45,0,0,1.36,17.43,377.82,0,0,0,0,0,1.15,0,2.19,0,0,0,3.96,0,0,12.33,35.75,0,0,0,0,2.63,0,0,0,46.05,0,0,0,0,0,0,2.85
