stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,0,0,0,0,0,0,0,0,0,1.02,1.06,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,2.97,0,3.42,0,0,0,0,1.28,0,0,2.67,0,0,24.55,0,2.43,2.6,0.87,5.88,0,0,0,0,0
 36-46,0,11.32,0,1.5,4.94,0,0,0,3.72,0,0,0.63,0,1.3,50.93,0,0,0,4.59,13.43,0,0,3.7,0,0
 48-58,0,0,0,3.25,1.37,7.65,0,0,0,0,0,0.59,0,1.91,41.21,5.03,0,0,2.2,9.67,0,0,0,0,0
 60-70,0,8.15,0,16.34,0,0,6.42,0,4,5.3,1.02,3.01,0,0,125.78,0,0,0,2.77,13.69,0,0,0,0,0
 72-82,0,2.59,3.88,28.96,0,0,6.3,0.66,0.94,5.83,0,3.49,0,0.57,105.78,0,0,0,0.96,4.5,0.62,0.66,2.19,0,0
 84-94,0,0,0,15.57,0,0,0.82,0,0.78,0,0,3.37,0,1.2,81.08,0,0,0,0,9.57,0,0,0,0,0
 96-106,0,0,2.54,7.7,4.47,0.89,2.95,0,0,0,0,1.56,0,0.92,51.91,0,0,0,0.66,1.98,0,0,1.16,0,0
108-118,0.52,2.06,0,10.83,0.64,0,0,0,0.98,0,0.43,1.02,0,0,83.9,0,0,0,0,3.24,0,0,2.29,0,3.48
120,0,9.83,0,15.78,0,2.96,0,0,0,0,0,2.43,1.65,0,114.68,0,3,0,2.28,0,0,0,1.1,4.52,0
