stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,236.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.39,381.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,0,30.87,0,10.09,0,0,0,18.37,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,214.17,9.3,0,0,61.89,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.97,3.54,0,0,53.94,0,0,0,4.63,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,4.72,4.72,0,4.79,0,0,1.6,2.04,0,0,0,0,0,0,0,3.43,0,0,2.95,55.11,4.61,1.54,0,1.65,0,0,11.8,0,2.09,5.54,14.23,0,0,0,0
 24-34,0,0,0,0,4.12,0.81,0,9.92,0.8,0.61,0,1,0,0,0,0.7,0,2.02,2.85,10.38,0,0,4.96,85.65,0.6,0,0,0,3.66,0,0,0,0,0,21.06,0,14.14,0,2.08
 36-46,0,0,0,0,0,0,0,10.01,0,1.84,0,0,0,0,0,0,0,0,0,8.78,0,0,0,112.08,14.4,1.08,0,0,0,0,0,1.06,0,0,44.6,0,2.15,0,0
 48-58,0,0,0,0,0,0,0,24.99,1.55,0.56,12.37,0,0.93,0,0,0,0,0.74,0,12.11,0,0,1.8,101.34,0,0.47,0,0,5.12,0,0,0,0,0,22.29,0,1.1,0,0
 60-70,0,0,0,0,0.83,0,0,25.97,0,0,6.91,0,0,0,0,0.56,0,1.22,0,6.33,0,0,0.82,78.16,0,1.48,7.86,0,8.45,0,0,0,0,0,2.91,1.29,0,0,4.82
 72-82,0,0,0.61,0,2.87,0,0,44.36,0,0.71,10.93,0,1.02,2.58,0,1.73,0,0,0,15.31,0,1.42,0,68.37,0,0,1.1,0,1.94,0,0,0,0,0,12.9,0.83,0,0,3.13
 84-94,0,0,0,0,1.4,0,0,38.49,0,0,14.11,1.05,0,0,1.33,0,0.88,0,0,15.89,0,0,0,72.4,0,0,0.69,0,6.43,0,0,0,0,0,8.14,0,0,0,0
 96-106,0,0,0.74,0,0,2.24,0,40.57,0,0,7.97,1.36,0,0.86,0,0,0,0,0,11.28,1.09,11.64,1.31,25.74,0.81,0,0,0,5.95,0,0,0,0,0,8.95,0.8,2.41,5.48,1.5
108-118,0,0,0,0,3.04,0,3.28,25.88,0,0.56,6.41,0,0,0,0.59,0,1.46,0,0,21.12,0,8.34,0,90.39,0,0.59,1.57,0,3.15,0,0,0,0,0,2.28,0,8.55,0,0
120,0,0,0,0,16.87,0,0,64.37,0,0,33.14,0,0,0,0,0,0,0,0,50.26,0,0,2.96,123.4,0,0,16.11,0,6.65,0,0,0,0,0,0,0,0,6.55,0
