stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,6.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0.84,1.07,0,0,0,0,0,0,0,35.1,0,0,30.77,3.29,0,0.95,0,0,0,0,0,0,0,0,0
 24-34,0,7.33,0,2.9,0,8.79,7.37,4.11,0,0.77,427.53,0,1.52,206.42,49.98,0.63,0,0,0,0,2.85,6.28,0,2.92,0,0
 36-46,0,0,0,12.9,4.2,55.88,3.16,2.5,1.03,0,1197.24,0,5.36,311.36,36.4,0,13.52,0,0,0,0,3.12,0,16.18,0,0
 48-58,0,0.4,0,17.79,0,67.88,0.92,2.72,0,1.42,1055.15,0,11.43,148.82,60.71,1.55,0,0,0.73,0,0,2.19,0.42,7.14,0,3.34
 60-70,0,0,0,12.19,1.49,100.46,10.18,3.45,0,4.79,1384.38,0.85,20.95,165.38,70.73,0.88,0,0,2.78,0,0,4.73,10.4,1.99,0,0
 72-82,0,1.67,0,10.72,0,76.3,0.77,0,0,0,855.73,0,6.15,91.93,22.7,1.59,0,0,0,0,0,0.73,3.06,0,0.83,0
 84-94,0,1.64,0,32.11,7.92,70.48,0,0,2.13,0,945.46,0,6.54,94.87,7.55,2.28,0,0,0,0,0,0,5.18,2.78,0,0
 96-106,0,0.66,0,28.98,4.29,63.2,1.41,0,0,0,571.97,0,4.28,45.7,9.72,0,0,0,0,0.66,0,0,2.14,0,0,0
108-118,0,0.87,0,11.72,0,42.64,0,0,0,0,487.01,0,4.26,22.49,8.18,0,1.02,0,0,3.75,0,4.63,2.4,0,0,0
120,0,5.5,0,1.73,0,89.23,0,0,3.81,0,467.64,0,6.34,24.71,17.47,0,0,0,0,0,0,0,0,0,0,0
