stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.76,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,0,0,0,0,0,0
  7-9,0,28.61,0,679.59,0,0,39.98,0,0,0,0,347.61,0,0,0,0,0,0,0,0,0,1374.09,0,0,19.54,0,0,0,0,0,0,0
 10-12,0,27.46,0,1046.31,0,0,18.45,0,0,0,0,262.64,0,0,0,7.47,0,0,0,0,0,6237.52,0,0,60.8,7.72,0,142.85,0,0,0,0
 14-21,0,0,0,10.25,231.32,11.94,0,0,0,0,34.15,21.94,0,6.94,0,0,0,12.03,0.95,0,0,31.44,3.52,46.47,0,12.83,1.53,50.94,6.88,0,0,0
 24-34,0,0,0,4.69,160.11,0,1.21,12.94,0,0,9.28,1.34,0,19.62,16.91,2.94,0,0.89,10.06,0,0.75,146.74,21.59,35.87,0,16.12,0,17.88,8.99,0,3.18,0
 36-46,0,0,0,0,87.06,0,0.63,26.62,0,0,0,15.45,0,2.86,10.46,6.12,0,3.5,5.68,0,0,233.15,8.31,27.94,0,29.42,0.91,5.26,4.8,0,0,0
 48-58,0,0,0,0,67.89,0.65,7.92,13.42,0,2.36,0.38,6.9,0,23.66,7.17,0,0,5.29,8.85,0.99,0,169.04,8.15,15.79,0,12.06,0,1.07,1.39,0,1.28,0.63
 60-70,0,0,0,0,67.54,0,10.3,7.6,0,6.28,2.26,1.77,0.78,1.7,15.63,0,0,1.17,10.65,0,0,93.56,13.24,18.4,0,23.46,0,2.73,1.69,7.35,0,6.61
 72-82,0,0,0.62,0,69.7,0,11.77,6.21,0,2.84,8.64,7.01,1.63,4.27,27.86,3.49,0,3.59,25.48,2.77,0.54,105.98,10.42,18.99,0,7.08,0,2.57,6.18,27.68,0,10.57
 84-94,0,0,0,0,138.99,2.56,15.94,32.48,0,1.12,11.99,11.82,0.61,15.25,20.98,0,0,4.09,20.07,0,5.73,114.73,21.9,13.11,0,32.52,0,14.07,0,59.2,0,0
 96-106,0,0,0,0,125.61,0,15.59,18.31,0,12.67,25.58,3.7,5.26,4.29,35.59,0,0,1.89,27.1,0,0,60.6,19.32,17.3,0,28.5,0,1.39,5.95,43.82,0,0
108-118,0,0,0.92,0,158.89,0,6.57,29.35,0.8,10.35,27.01,0,4.11,11.06,14.13,0,1.01,3.97,29.85,0,0.87,75.42,5.54,18.58,0,27.1,0,8.8,5.08,64.27,0,0
120,1.12,0,0,0,189.49,0,4.13,25.71,0,0,21.51,0,0,19.75,14.69,0,0,0,15.52,0,0,11.54,11.99,24.1,0,32.61,0,17.92,0,20.69,0,0
