stage,blastomeres,epidermis,eye,neural,paraxial.mesoderm
  3-4,21.51,0,0,0,0
  5-6,10.83,0,0,0,0
  7-9,0,0,14.95,10.3,11.5
 10-12,0,0,0,19.03,3.59
 72-82,0,0.58,0,0,0
