stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.88,0,0,0,0,0,0,0,0,0,0,0,5.72,0,0,0,0,0,0,0
 10-12,0,7.39,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0
 14-21,0,0,1.9,0,0,1.11,0,0,0,0.92,0,0,1.12,0,0,1.01,0,1.91,0,1.82
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,3.08
 36-46,0,0,0,0.78,0,0,0,0,0,0,0,0.73,0,0,0.57,0,0,1.6,0,0
 60-70,0,0,0,0,0,0,0,0.63,0,2.24,0,0,0,0,0,0,0.58,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.61,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.61,0.9,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.71,0.5,0.52,0,0,0,0.83,0,1.22,0,1.87,0,0,0,0.54,1.44
120,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0
