stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,124.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.58,0,0,0,0,0,0,0,0,0
  5-6,17.43,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,6.86,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.98,19.12,0,0,267.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,14.61,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.44,17.8,0,0,989.72,0,0,5.64,0,0,42.03,0,0,0,0,0
 14-21,0.93,0,9.75,19.73,11.16,2.88,0,0,0,0.87,5.79,0,0.82,0,0,0,0,253.34,0,0,813.73,25.15,249.87,0.87,0,10.39,0,1.91,397.5,4.3,34.59,1557.42,12.2,0,0,0,0
 24-34,0,0,0,4.72,0,34.79,1.22,1.44,6.44,0,0,0,0,0,0,0,6.43,270.11,0,0,544.74,34.21,336.62,1.79,0,0,0,5.42,0,0,38.12,143.79,16.38,0,8.92,0,0
 36-46,0,0,0,9.09,0,79.7,12.46,1.94,14.71,2.75,0,0,0,0,0,0,0,415.99,0,0,369.73,49.17,211.77,1.13,0,0,0,1.61,0,0,65.98,1.41,9.18,0,0,0,0
 48-58,0,0,0,0,0.44,81.2,27.25,21.58,14.07,4.79,0,0,0,0,0,0,0,409.07,0,0.87,186.49,78.13,103.41,0,0,0,6.74,0,0,0,40.19,0,17.91,0,0,0,1.97
 60-70,0.81,0,0,8.27,0,158.24,28.47,23.08,2.76,9.4,0,0,0,0,0,0,0,442.44,0,7.19,97.45,44.46,68.9,0,0.84,0,10.15,4.21,0,0,53.23,0,2.86,1.96,0,0,0
 72-82,0,0,0,4.58,0,118.36,13.23,15.42,9.93,0.91,0,0,0,0,0.6,0,0,390.22,0,3,56.41,58.06,38.97,1.61,0.59,0,3.31,0,0,0,27.3,0,3.16,14.79,0,0,0
 84-94,3.08,0,0,2.43,2.24,207.41,18.57,38.14,1.67,3.4,1.22,1.48,0.82,0.7,1.91,0,0,366.82,0,1.76,48.2,77.49,39.15,0,0.92,0,0,2.62,0,0,33.82,0,1.84,6.35,0,2.86,0
 96-106,0,0,0,4.37,6.61,187.58,25.16,41.8,2.49,0,4.67,4,0,0,0,0,0,377.53,0,0,28.01,97.35,18.75,0,0,0,32.25,10.49,0,0,27.68,0,2.39,21.97,0,0.74,0
108-118,0,0,0.49,9.84,0,142.9,33.89,31.12,1.23,6.48,7.62,4.1,0.89,0,0,2.23,0,405.67,0.47,2.88,36,50.56,17.24,0.66,6.44,0,22.37,2.4,0,0,24.93,0,0.42,38.29,6.91,2.26,8.33
120,0,0,0,4.63,0,48.73,26.68,46.1,16.63,5.28,0,1.43,2.09,0,0,0,0,412.5,1.56,5.31,12.38,19.8,19.07,0,1.11,0,23.47,0,0,2.12,18.77,0,0,0,0,5.15,0
