stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,215.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,149.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,0,9.62,0,0,13.15,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,47.44,0,0,0,30.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.49,0,0,0,12.4,0,0,0,15.37,0,0,0,0,0,0
 14-21,0,0,1.7,0,0.99,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,5.05,0.97,0,0,0,0,0,2.94,0,7.43,6.71,0,1.96,0,0
 24-34,0,0,1.56,0,0,0,1.86,0,0,0,0,0,0,0,0,1.29,4.39,0,2.48,11.56,0.74,0,0,0,0,0,0,0,0,1.32,0,5.28,0,0
 36-46,0,0,1.83,0,6.2,0,0,2.32,0,0,0.57,0,0.86,0,0.67,0,7.21,1.42,0.68,22.12,0.63,2.3,0,0,0,0,0,0,0,5.92,0,7.61,0,0
 48-58,0,0,0,0,19.88,0,0,1.42,0,5.14,2.9,0,0,0,1.98,0,7.97,0,0.87,53.52,0,0,0.4,0,0,0,0,0,0,5.06,0,1.17,0,0
 60-70,0,0,0.57,0.69,45.29,0,0,18.92,0,0,2.21,0,0,0.8,0,6.35,14.05,0,9.18,120.42,0,0,0,0,0,0,0,0,0,17.67,1.27,6.73,0,0
 72-82,0,0,1.18,0.91,35.43,0,0,20.97,0.61,0,2,0,0,0.65,1.79,0,42.99,0.63,3.55,150.3,0,1.45,2.52,0,0,0,0,0,0,7.78,6.01,10.34,3.72,0
 84-94,0,0,5.38,0,19.71,0.55,2.83,14.3,0.76,0.6,4.35,0.73,0.62,2.78,4,0,37.49,1.98,1.89,78.13,0,0,1.06,0,0,0,0,0,0,1.88,0,13.47,4.58,0
 96-106,0,0,6.82,1.15,40.17,0,0,12.72,0,0,3.65,4.96,0,2.65,0,0,19.16,0,4.9,89.28,0,0,0,0,2.4,0,0,0,0,10.89,3.96,11.26,1.37,0
108-118,0,0,3.32,7.29,19.83,0,1.12,14.89,0.42,0,1.03,1.26,2.17,0.98,0,0,57.61,2.45,0.94,64.53,0,0.87,0,0,1.31,0,0,0,0,11.84,3.67,16.95,0,1.53
120,0,0,0,5.7,8.14,0,2.35,26.27,0,0,0,0,0,0,3.28,0,22.99,0,2.55,51.64,0,0,7.32,0,5.29,0,0,0,0,13.5,0,2.27,0,3.58
