stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.23,33.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,0,0,0,0,0,18.74,4.08,0,9.49,0,0,0,0,0,0,0
 10-12,0,6.14,0,0,0,0,0,0,0,0,0,20.12,0,0,5.71,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,55.23,0,1.08,0,2.2,0.88,6.55,0,0,0,0
 24-34,0,0,0,1.53,0,0.97,0.63,0,1.24,0,0,185.62,0.66,0,0,0,0,28.04,0,0,0,0
 36-46,0,0,0,0.76,0,11.81,0,0,0,0,0.62,116.43,0,0,0,3.94,0,35.43,0,0,0,0.57
 48-58,0,0,0,1.03,0,19.55,0,0,0.8,0,0,33.62,0,0.37,0,2.13,0,12.47,0,0,0,0
 60-70,0,0,8.52,6.95,0,32.69,0,0,0,0,0,29.65,0,0,0,5.24,0,4.1,0,0,0,0
 72-82,0,0,0,1.76,0,34.99,0,0,0.59,0,0.64,21.12,0,0.88,0,0,0,1.54,0.8,0,0,0
 84-94,0,0,6.38,0,0,10.53,0,0,0.57,0,0,6.2,0,0.77,0,1.57,0,1.37,0.61,2.97,0.77,0
 96-106,0,0,0,20.91,1.21,33.29,5.46,1.28,1.16,0,1.13,12.94,0,0.59,0,4.09,0,0,0,0,0,0
108-118,0,0,0,2.52,0,33.08,0,0.43,0,0.77,0.59,23.07,0,2.09,0,0.46,0,0,0,0,0,0
120,0,0,0,20.13,0,56.77,1.68,0,0,0,0,22.14,0,2.58,0,0,0,0,0,0,0,0
