stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,immune,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord
  3-4,0,208.17,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.34,213.84,0,0,0,0,0,36.16,0,13.13,0,0,0,0
  7-9,0,8.95,10.06,0,10.34,8.81,0,153.56,0,61.57,5.34,0,0,0
 10-12,0,0,0,7.8,11.06,0,0,174.45,3.15,35.46,0,9.73,6.12,0
 36-46,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.66,0,0,0,0,0,0,0,0,1.45
