stage,axial,blastomeres,erythrocytes,eye,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,17.23,54.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.37,0,0,0,3.89,0,5.84,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.75,0,0,0
 14-21,0,0,0.94,0,0,0,0,1.67,0,0,2.32,1.22,0
 24-34,0,0,0,1.71,0,0,0,8.6,0,0,0,0,1.91
 36-46,0,0,0,0,0.84,0,0,12.26,0,0,0,0,0
 48-58,0,0,0,1.54,0.46,0.65,0,4.31,0,0,0,0,0
 60-70,0,0,0,1.23,1.05,0,0,2.08,0,0,2.43,0,0
 72-82,0,0,0,1.24,4.07,0,0,9.9,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.11,0,0,0.71,0,0
 96-106,0,0,0,10.96,0,0,0,1.75,1.39,0,0,0,0
108-118,0,0,0,0,0,0,1.69,0,0.65,0,0,0,3.97
