stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.54,52.07,6.63,34.74,0,0,0,4.51,4.89,1.79,3.16,0,1.96,0,0,0,1.07,36.27,0,0,30.41,470.53,23.31,1.72,10.7,9.47,0,8.79,3.12,107.55,0.85,1.33,35.48,133.86,0,0,2.22,0,2.76
 24-34,1.33,0,18,2.52,82.55,0,1.4,1.55,6.39,4.41,0,0,0,4.12,0.7,0.79,1.43,0,51.83,0.71,0,24.07,638.54,5.14,5.46,9.15,0,0,17.98,0.98,0.71,2.54,0,5.42,121.82,0,0,15.06,0,4.68
 36-46,0,0,5.36,1.06,157.74,0,2.18,0,32.96,1.17,0,0.84,0,2.14,1.11,0.8,0,1.12,39.35,1.17,0,11.63,681.45,1.23,7.03,4.91,0,0,17.14,0.73,0,0.72,0,1.18,161.09,0,0,4.36,0,2.11
 48-58,0.39,0,11.25,0.57,206.78,0.94,0.97,2.41,27.59,0,0.94,0.45,0.58,0,1.6,0,0,5.51,49.44,0.95,1.32,9.88,512.25,0.91,3.4,2.66,0,0.45,13.76,0,0,1.75,0,0,136.34,0,1.77,2.93,0,7.93
 60-70,0,0,9.96,7.03,482.16,0.73,0.81,10.07,40.88,8.16,0.66,7.46,0,0,3.63,3.65,5.41,3.31,58.03,0,2.2,7.75,614.56,0,3.77,7.93,0,3.93,10.05,0,0,0.58,0,0,146.54,0,0.84,5.11,0,3.07
 72-82,2.44,0,7.44,15.93,417.75,2.52,1.5,4.21,66.59,1.19,0,3.39,1.75,3.07,7.32,1.49,0,0,102.16,0,1.92,8.32,620.67,3.34,1.14,2.74,0,0,6.56,0,0,0.66,0,0,170.17,1.34,2.31,5.68,0.6,11.98
 84-94,1.85,0,23.4,50.79,334.08,0,4.25,6.13,66.77,8.01,0,1.92,4.52,5.42,8.17,2.38,0.63,0,120.97,0,0.86,12.87,515.64,3.63,7.55,8.61,0,0,43.19,0,0,1.21,0,0,117.35,0.56,0,14.24,3.75,4.76
 96-106,0.81,0,9.8,67.5,435.63,1.24,5.07,1.92,96.71,3.32,0,3.38,7.81,1.68,1.97,6.66,2.32,0.65,128.61,3.08,8.62,11.86,478.82,1.49,12.18,11.09,0,10.13,35.09,0,0,0.61,0,0,49.96,3.55,0.67,20.34,7.3,2.4
108-118,1.21,0,15.73,59.75,439.94,4.23,5.69,13.18,101.04,7.31,0,0,10.2,1.58,7.73,5.68,5.33,2.15,139.41,3.49,3.44,7.52,686.92,2.59,3.73,7.86,0,8.87,30.3,0,0,1.05,0.93,0,57.88,0.43,1.11,15.2,3.13,6.85
120,0,0,38.25,54.13,463.39,8.57,7,9.12,183.59,13.66,0,1.85,10.52,1.51,23.32,0,9.09,4.02,177.26,0,22.1,42.19,1022.78,18.15,0,2.52,0,0,52.03,0,0,0,0,0,46.01,1.27,6.25,10.92,11.01,15.67
