stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,43.39,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,0,0,3.64,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0,0,37.34,0,0,0,25.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.69,0,0,6.32,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,3370.36,0,0,0,91.45,0,0,0,15.74,0,0,0,0,0,0,0
 14-21,1.39,0,0,1.94,4688.92,2.8,6.39,0,0,0,0,5.85,12.23,0,331.17,0,20.88,0,0,4.98,26.36,0,2.33,103.23,16,58.95,12.58,0,0,28.27,5.44,1.04,3.78,6.86,0,0,0,0,0
 24-34,0,0,0,0,1615.03,0,6.13,0,9.65,0,0,1.93,39.15,0,416.02,0,132.96,5.54,0,6.84,78.19,2.43,1.7,189.55,0.65,250.32,15.9,0,0,10.4,0,6.24,1.47,12.22,0,0,0,0,0
 36-46,0,0,0,0,839.09,0,2.26,0,32.93,3.07,1.53,0,27.48,0,155.23,0,134.44,0,0,1.47,66.28,0,0.65,325.86,0,161.03,9.16,0,0,23.1,0,3.22,0,4.72,0,0,0,0,12.47
 48-58,0,0,0,0,563.21,0,8.66,0,37.05,0,1.41,0.54,57.31,8.2,80,0,125.11,0,0,2.28,73.48,0,0,153.45,0,131.73,26.1,0,0,0.38,0,2.18,0,8.93,0,0,0,0,12.04
 60-70,0,0,0,0,222.1,0,6.34,0,6.7,3.77,1.52,3.82,18.66,10.05,60.56,0,132.47,0,0,7.62,62.03,0,0,28.36,0,80.48,15.35,0,0,0.84,0,0,0,2.46,25.09,0,0,0,5.58
 72-82,0,0,1.74,0,175.81,0.69,15.76,6.88,13.4,0,3.29,22.08,13.01,11.15,87.79,3.32,125.42,0,6.19,10.02,96.32,0.79,0.54,51.93,2.6,109.45,12.21,0,0,4.3,0,0,0,9.38,75.87,0,1.37,1.42,12.21
 84-94,0,0,2.24,0,195.56,0.57,8.08,0,9.93,0,0.74,51.58,1.51,7.3,110.35,0,144.72,0,0.72,0.92,73.14,0,1.86,31.41,0,311.4,6.94,0,1.68,3.83,0,2.87,0,0,224.54,0,1.21,0,5.42
 96-106,0,0,0,0,231.65,5.73,38.46,0,7.7,0,5.12,94.65,0,12.82,98.74,0,229.4,3.85,3.67,15.66,85.4,0,4.09,57.61,0.68,522.15,5.29,0,0,2.97,0,0,0,6.26,291.25,0,1.58,0,0.8
108-118,0,0,0,0,127.34,4.65,20.35,0,2.12,0.56,14.81,69.82,2.74,11.91,93.46,0,148.8,0,9.71,6.77,104.18,0,0.46,45.04,0,274.62,6.94,0,3.18,7.92,0,0.88,0,0,248.79,2.83,0.7,0,2.94
120,0,0,0,0,97.05,0,1.56,0,7.01,0,7.54,39.53,0,15.27,59.21,0,121.12,0,0,18.15,70.65,0,0,47.45,0,157.24,5.66,0,0,3.62,0,0,0,0,125.05,0,0,0,0
