stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,41.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49,9.07,0,12.87,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,5.2,0,15.68,0,0,0,0,0,0,0,0
 14-21,0,0.81,0.94,0,0,0,0,0,0,0,0,0,1.92,0,0,0,9.74,0,0,0,0,1.15,2.19,0.81,0,0,0,0
 24-34,0,0,1.64,2.53,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,0,6.79,0,0.67,0,0
 36-46,0,0,0.6,3.56,0,0.78,0.69,0,0,0,0,0,3.56,0,0,0.73,46.92,0,0,0,0,2.4,0,5.01,0,0,0,0
 48-58,0,0,2.9,15.85,0.85,0.45,11.61,0,0,0.38,0,0,1.06,0.82,0,0.68,39.36,0,0,0,0,0,0,14.08,0,0.49,0,0
 60-70,0,0,0,26.71,0,0,7.47,0,0,0.6,0,0,2.07,0,1.2,1.65,35.22,0,0,0,0,0,0,1.11,0,0,0,0
 72-82,0,0,6.25,14.46,0,0,1.87,0,0,0,0,0,4.51,0,0,1.52,20.34,0,2.61,0,0,0,0,4.55,0,1.68,0,0.63
 84-94,0,0,0,6.27,0,1.43,3.05,0,0,0,0,0,3.6,0,0,0,31.87,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,25.77,0,0,0,0,0,1.19,0,0,3.79,0,0,0,7.47,0,0,0,0,3.17,0,0,1.96,8.58,0,0
108-118,0,0,0,14.34,0,0.64,2.61,0.42,4.21,0,0.81,2.37,1.41,0,0.98,0,12.06,0.99,0,0,7.73,3.31,0,0,0,1.24,0.44,7.18
120,0,0,0,23.02,3.87,0,52.28,0,0,0,0,0,3.96,0,2.08,0,7.79,0,0,0,0,0,0,11.34,0,12.69,0,0
