stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.14,0,21.51,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,26.37,0,0,0,0.99,0,7.7,0.82,0,0,1.78,6.67,0,0,0,0,0
 24-34,0,0,1.27,1.62,404.17,0,5.6,0,0,0,0,0.73,2.59,0,2.7,0,0,0.71,0,0,0.65,0,0.98,73.32,0,7.01,0,0,0,8.68,0,0,0,0.72,8.04,0,0,0,0,0
 36-46,0,0,0,2.47,823.74,0,10.18,0,0,0,2.28,0.61,0,0,0.81,0,0,0.6,0,0,15.2,0,0.56,107.16,0,0,0.76,0,0,20.62,0,0,0,0,15.73,0,0,0,0,0
 48-58,0,0,0,0.98,849.73,0,11.38,0,3.95,0,8.72,1.77,0,0,0,0,0,1.59,0.38,0,4.55,0,0.4,50.05,0,0.48,0,0,0,9.79,0,0,2.93,0,7.85,0,0,1.51,0,0.42
 60-70,0.81,0,0,0.56,870.28,0,18.19,0,2.35,0.77,7.33,1.66,0,0,0,0,0,0.57,1.06,0,5.15,0,2.53,182.12,0,0,0,0,0,11.14,0,0,0,0,3.75,0,0,1.41,0,2.91
 72-82,0,0,0,1.21,7383.78,0,71.55,5.73,2.9,17.28,25.11,0,0,0.66,23.11,0.63,15.4,2.91,0,0,12.17,0,0.94,141.56,0,1.18,3.1,0,0,29.2,0,0,0,0,11.5,12.17,0,21.86,0,2.8
 84-94,0,0,0,3.01,4005.11,0,34.78,7.13,0.96,0.94,3.97,4.25,0,0,2.62,0,2.36,1.6,0,0,10.91,0,1.48,61.45,0,0,3.11,0,0,23.35,0,2.67,0.8,0,8.17,0.71,0,6.56,6.63,18.57
 96-106,0,0,0,10.24,10716.13,0,63.68,1.29,2.28,0,7.4,7.39,0,14.55,11.52,0,1.6,5.72,15.82,1.08,31.48,0,7.14,358.05,0.7,0,0.6,0,0,41.36,0,0,1.18,0,4.81,4.64,0,22.26,1.89,9.11
108-118,0,1.57,0,6.29,5771.2,0.95,63.78,6.74,1.93,4.73,31.89,2.62,0,9.67,6.64,4.42,0,0.93,2.44,0,50.8,0,4.52,166.76,2.58,0.63,0,0,3.27,25.14,0,1.86,0,0,4.97,0.53,7.25,36.06,0.93,0
120,0,0,0,11.33,5356.14,16.93,38.76,1.18,2.09,0,55.98,8.78,0,3.83,7.18,0,3.12,8.63,9.87,0,39.39,8.79,5.55,125.87,1.29,0,2.59,0,0,26.86,0,0,0,0,9.62,0,0,39.09,0,0
