stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,121.86,2064.65,0,0,0,0,0,0,0,0,0,0,0,57.05,0,0,0,0
  5-6,208.6,2504.57,0,0,0,0,0,0,0,22.65,8.9,0,0,51.37,0,0,0,0
  7-9,52.16,31.73,46.78,0,0,92.56,0,84.54,0,992.27,34.34,0,418.12,0,0,0,0,0
 10-12,0,4.72,11.73,0,0,19.1,0,0,0,164.84,3.62,0,58.04,0,0,18.5,0,0
 14-21,0,0,0,0.87,0,0,0,0,1.66,1.68,0,0,0,0.88,1.17,0,0.91,2.12
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,1.02
 36-46,0,0,0,0,0,0,0.63,0,0,1,0.59,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.59,0,0,0,0,0,0.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.85,0,0,0.76,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0
