stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,4.39,0,0,0,0
 24-34,0.63,0,3.4,0,1.98,0,0,0,0,0,0,0.63,0,0,14.54,0,0,0,0,0,4.92,0,0,0,0
 36-46,0,0,3.45,3.5,0,0,0.93,0,0,0,1.99,2.51,0,0,25.62,0,0,0,1.56,0,5.71,0,0,0,0
 48-58,3.05,0,11.78,7.82,7.39,0.77,10.32,0,0,0.41,1.15,49.09,0,2.39,28.22,0,0,0,0,0,3.33,0,0,0,0
 60-70,1.67,0,21.02,16.69,4.26,0,3.01,0,0,3.81,2.64,221.87,0,2.03,85.97,0,14.2,0,0,0,18.56,5.55,0,0,0
 72-82,1.18,0,59.48,4.62,6.92,0,19.59,0,13.34,6.5,0,625.33,6.36,10.14,35.12,0.7,1.39,0,0,0,15.16,2.36,2.87,0.52,4.75
 84-94,3.6,0.78,35.03,3.35,1.42,0,8.73,0,0,0,0,372.89,3.81,3.83,34.6,0,0,0,0,0.97,8.21,6.09,1.79,0.74,0
 96-106,3.54,0,26.8,37.6,2.73,0,44.82,0,0,9.71,0,563.56,33.88,12.92,51.47,0,1.31,1.82,2.34,2.19,9.62,9.73,5.75,4.58,0
108-118,12.23,0.42,63.89,14.89,8.26,0.47,14.21,0,0,17.03,0,926.8,30.01,7.07,47.41,0,0.86,9.37,0,0,7.45,7.91,0,1.58,0
120,15.66,0,19.34,42.53,0,0,12.89,2.32,0,11.29,0,958.36,8.97,18.73,112.18,0,0,2.67,0,0,0,28.38,0,0,0
