stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,189.6,5462.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,283.85,3356.85,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,91.97,6.07,0,0,24.06,0,47.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,93.55,31.31,0,66.64,0,0,0,34.88,0,0,0,0,0,24.03,0,0,0,0,0,0,0,0,0,0,560.26,194.94,0,0,899.44,0,7.64,15.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,35.45,0,70.53,0,6.05,0,68.91,0,0,0,0,0,22.02,0,0,0,0,0,0,0,0,0,0,709.34,25.13,0,0,893.95,0,0,10.94,0,45.33,0,7.22,0,0,0,0,0,0
 14-21,0,0,0,17.65,51.98,57.03,0,15.58,0,0,0,3.97,5.04,0,6.46,1.71,0,0,0,1.46,0,78.1,0,29.92,232.38,8.02,0,4.07,51.22,0,0,0.91,71.74,1.59,2.92,64.42,91.6,0,0,7.85,0,0
 24-34,0,0,0,4.53,17.81,9.59,0,19.53,0,4.53,4.44,7.9,0,0,7.06,4.75,0,0.64,0,4.72,15.29,170.73,0,57.44,276.04,0.95,0,5.93,0,1.14,0,0,0,1.72,0,17.92,71.32,0,0,29.91,0,8.72
 36-46,0,0,0,0,4.96,2.99,0,27.87,0.59,3.64,19.22,18.58,0,0,8.94,3.27,0,1.49,0,4.68,26.54,240.51,0,58.41,183.51,0,2.25,11.47,0,0,1.47,0,0,0.72,0,0,70.16,0,0,21.29,0,13.77
 48-58,0,0,0.46,0,8.05,1.95,0,18.95,1.94,1.2,34.65,17.44,4.75,0,5.65,3.11,0,0.85,0.5,4.74,5.09,231.39,5.67,31.67,74.41,0,0,7.77,0,1.62,0,0,0,0,1.43,0,35.11,0,0,6.97,0,7.32
 60-70,0,0,0,0,8.92,7.95,0,22.09,10.75,1.49,25.89,21.66,0,2,4.47,32.66,0,7.07,0,4.78,5.14,259.8,2.35,32.42,29.35,0,0,9.72,0,11.72,0.71,0,0,0,0,0,7.68,0,8.37,6.94,0,9.95
 72-82,0,0,0,0,2.72,68.02,0,22.05,2.46,16.72,39.65,28.88,4.54,0,8.16,3.22,1.73,3.27,0,5.62,0,264.98,7.45,34.73,43.95,0,0.59,5.22,0,10.02,0,0,0,0,3.15,0,10,0,3.66,23.45,5.32,10.12
 84-94,0,0,0,0,3.49,69.38,1.09,26.19,0.81,3.24,39.79,11.87,1.82,0,8.6,19.84,0,34.08,0,9.74,4.47,319.49,19.58,21.13,42.75,0,0,1.88,0,5.64,0,0,0,0.74,0,0,5.02,0.9,1.07,27.1,5.94,4.01
 96-106,0,0,3.83,0,8.74,107.28,2.38,23.71,2.54,3.61,45.81,18.01,2.59,0,6.59,17.44,0,9.45,0,9.78,2.92,218.5,5.33,11.13,56.99,0,0.81,1.18,0,6.51,1.97,0,0,0,0,0,0.66,0,6.38,15.74,0,2.62
108-118,0,0,0,0,15.81,52.95,9.06,17.16,0.42,1.51,23.45,19.99,3.31,0,3.64,23.36,0,15.7,0,8.51,1.41,218.07,3.63,17.52,46.35,0.45,0.55,0.53,0,8.68,2.26,0,0,0,0,0,3.53,0,5.81,13.36,3.28,2.97
120,0,0,0,0,15.69,15.41,3.51,8.07,1.99,4.84,37.14,44.4,7.82,0,1.15,18.99,0,10.83,14.75,21.54,1.6,146.76,5.59,15.56,20.9,0,1.91,0,0,4.7,0,0,0,0,0,0,4.83,1.28,0,45.93,0,4.25
