stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,38.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.24,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,9.99,7,0,0,125.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,33.02,0,0,0,222.88,0,0,0,7.01,0,0,0,0,0,0,0,0
 14-21,0,0,1.78,4.08,0,0,0,0,0,0,0,0,0,0,11.3,0.88,5.56,0,0,0,0.82,0,0.98,21.86,0.89,1.62,11.53,0,0,0,0,0,0
 24-34,0,0,0.74,0.74,0,0,0,0,0,0,0,0,1.5,0,3.94,11.8,18.77,0,0,0,0,0,0.59,0,0,0,2.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,16.39,7.68,3.84,0,0,0,0,0,0.59,0,0,0,0,0.58,0,0,1.4,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.46,4.51,2.23,43.67,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0
 60-70,0,0,0,1.8,0.78,0,0,0,0,0,9.38,0,0,0,10.56,0,39.72,0,0,0,0,0,0,1.38,0,0,0,1.71,0,0,1.05,0,0
 72-82,0,0.58,0,0.87,15.19,0,0,6.99,1.34,0,4.93,0.56,0,0,37.6,2.6,73.76,0,0,0,0,0,1.65,0,0,0,0,0,0,6.52,0.64,0,0
 84-94,0,0,0,0.8,5.89,0,0,0,0.66,0,2.24,0,0,0,33.34,2.12,90.28,0,0,2.03,0,0,0,0,0.74,0,0,3.1,0,1.48,1.21,2.12,0
 96-106,0,0,0,5.18,10.86,1.64,0,22.51,0,0,0.66,0,0,0,43.13,3.29,64.14,0,0,0,0,1.03,0.62,0,2.34,0,0,0,1.57,4.82,2.16,1.42,0
108-118,0,0,0,5.96,9.94,0,0.6,10.39,0.43,0,0.43,3.26,0.64,0,38.41,5.29,74.42,0,0.53,0,0,0,2.97,0,0.92,0,0,0,0,7.55,3.66,2.84,0.83
120,0,0,0,3.76,3.72,0,0,14.4,1.24,0,0,1.61,0,0,74.95,6.54,91.18,0,0,0,0,0,0,0,1.26,0,0,9.27,0,30.82,6.69,0,0
