stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.05,217.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.83,57.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,32.71,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.62,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,16.71,2.36,0,0,0,1.52,0,0,4.54,0,0,0,0
 24-34,0,0,0,0,4.91,0,4.39,1.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,130.63,0,0,0,0,0,0,5.24,17.87,0,0,0,0
 36-46,0,0,0,0,0,0,1.93,1.39,0,4.83,0,0,0,0,0,0,0,0,1.96,0,0,359.28,0.6,0,0,0,1.69,0,3.02,48.42,0,0,0,0
 48-58,0,0,0.88,0,0.62,0,73.22,0,0,11.62,0,0,0,0,0,0,0,0,1.42,0,0,1168.16,1.44,0,0,0,0,0,5.54,87.06,0,0,0,1.82
 60-70,0,0,0,0,2.72,0,287.81,0,0.76,22.45,0,0,0,0,0,0,0,0,2.23,0,0,2292.85,7.29,0,0.65,0,3.64,0,3.06,84.95,0,0,0.81,0
 72-82,0,0,0.54,0,8.95,0,516.17,0,0.61,53.02,1.27,0,0,3.59,0.66,0,0,0,21.57,0,0,3301.96,4.91,0,2.71,0.71,2.71,0,7.43,155.88,0.87,0,1.26,0
 84-94,0,0,1.15,0,4.04,0,389.16,0.68,0,53.21,0.68,0,0,4.24,0,0,0,1.13,14.06,0,11.59,1804.21,3.47,1.04,3.39,0,0,0,9.26,81.98,0.57,0,3,0
 96-106,1.12,0,3.8,0,7.8,4.84,306.63,0,0,49.05,1.28,0,0,0,0,0.76,0,0,11.58,0,0,1677.04,0.77,2.4,5.3,3.99,0,3.39,4.19,42.76,0,0.88,0,0
108-118,0,0,7.74,0,16.51,0.94,360.54,0,0,55.74,0.86,0,1.35,1.91,0,0,0,0.46,25.55,2.84,0,1815.64,4.07,0,4.39,0,0,0,8.94,47.51,1.88,0,1.03,0
120,0,0,0,1.28,11.3,4.77,742.21,0,19.12,55.75,3.22,0,0,0,0,3.86,2.89,0,7.96,4.76,0,4297.68,1.17,0,0,0,8.8,0,1.94,128.87,1.84,0,0,0
