stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,102.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0
  5-6,0,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.45,26.09,0,0,0,0,0,44.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.05,5.98,0,0,38.57,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.9,0,12.73,0,0,0,35.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780.77,0,0,0,32.38,0,0,0,0,0,17.08,3.51,0,0,0,0,0
 14-21,0,0,0,1.96,485.07,3.26,0,7.59,0,0,20.18,0,2,0,4.08,0,0,3.79,0,19.84,0.86,0,18.16,191.69,2.92,0,0,2.27,0,2.14,1.23,0,1.54,5.3,127.45,0,0,1.87,0,0
 24-34,0,0,0,1.96,428.66,0.67,0,4.62,14.63,0.83,19.1,0,10.42,0,0,11.61,0,6.15,0,68.45,2.11,0,28.23,246.48,12.64,0,0.64,0,1.61,6.25,0,1.74,0,1.32,89.78,0,0,3.03,0,1.99
 36-46,0,0,0,0,283.06,0,0,7.42,29.46,4.7,36.14,0,3.53,0,0,0,0.7,7.56,8.29,63.17,2.45,1.98,24.43,126.61,7.19,0,1.34,0,0,41.47,0,1.63,0,0,53.48,0,0,2.2,0,5.2
 48-58,0,0,0,0,192.64,0,0,7.34,34.74,21.77,92.29,3.03,0.73,0,0,5.74,0,3.37,0.46,56.07,0.57,1.33,12.27,69.47,5.86,0,0,0,0,4.84,0,2.72,0,0,48.24,0,0,0.46,0,1.38
 60-70,0,0,0,0,121.88,0,0,26.5,38.39,24.83,144.28,0,0,0,0,0,0,0.62,0,80.97,0,0.7,5.03,28.27,0,0,0.62,0,0,4.6,0,1.13,0,0,29.04,0,0,0,0.71,0
 72-82,0,0,0.69,0,52.11,0,0,17.04,14.86,61.5,323.73,0,1.07,0,0.53,0.49,0,18.29,0,161.42,1.14,2.18,10.72,51.04,0,0.53,1.72,0,2.24,0.8,0,0.52,0,0,41.28,3.4,3.32,0.73,2.36,0
 84-94,0,0,0,0,79.51,4.26,0,20.74,27.06,37.36,230.03,0.98,1.61,0,0,0,1.91,21.57,0,113.51,0,0.76,9.96,18.07,7.92,0,0,0,0,4.69,0,1.24,0,0,14.46,1.01,7.92,1.92,2.02,0
 96-106,0,0,0,0,52.04,0,0,14.38,21.91,29.87,219.36,0.57,6.81,0,0,8.32,1.2,53.9,0,172.79,0.57,6.89,5.6,35.6,0.68,0.6,1.45,0,5.02,2.65,0,0.73,0,0,17.07,0,1.71,5.66,9.62,0.73
108-118,0,0,0,0,63.8,1.36,2.65,12.07,30.54,28.64,191.84,1.99,1.94,0.65,1.9,0.63,0.84,64.87,0.59,238.97,0,4.06,14.38,44.4,0.67,0.97,6.11,0,1.49,6.65,0,0.45,0,0,4.07,0.8,6.66,7.89,8.17,2.67
120,0,0,0,0,29.08,0,0,25.17,1.45,17.56,271.14,2.7,4.12,0,0,1.17,0,46.96,3.89,175.54,1.13,17.45,1.1,24.4,0,1.62,3.96,0,0,1.01,0,0,0,0,15.98,0,8.2,2.64,21.32,0
