stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1284.69,23120.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.93,0,0,0,0,0,0,0,0,0,0
  5-6,1145.73,13128.98,0,54.91,0,0,0,0,0,0,0,0,0,33.56,0,0,0,0,0,0,0,0,0,0,393.16,7.03,0,0,136.69,0,126.02,0,0,0,0,0,0,0,0,0,0
  7-9,29.46,66.3,0,163.45,0,0,0,356.37,0,0,0,0,0,71.76,0,0,0,0,0,0,0,0,0,0,3258.95,37.84,0,0,908.31,0,21.76,107.15,0,0,0,0,0,0,0,0,0
 10-12,0,134.21,0,119.65,0,22.74,0,383.7,0,0,0,0,0,18.01,0,0,0,0,0,0,0,0,0,0,3640.09,84.68,0,0,990.38,0,13,67.48,0,112.95,0,3.51,0,0,0,0,0
 14-21,0.89,0,0,16.3,82.12,34.07,0,51.4,0,0,0,16.85,1.91,0,0,0,2.82,0,0,2.77,34.36,0,0,24.89,611.23,8.39,2.97,8.36,10.25,0,31.53,3.4,51.42,1.76,22.97,186.89,0,0,1.77,0,0
 24-34,0,0,0,10.21,63.47,11.74,0,160.88,0,0,0.69,20.57,5.77,0,1.15,3.38,1.1,0.63,0,3.27,97.21,0,2.42,24.73,1192.82,4.2,5.25,17.82,0,0,64.97,0,0,0.65,4.19,214.38,0,0,16.87,0,0
 36-46,0,0,0,1.85,34.39,0.89,0,175.79,0,0,0,24.28,1.61,0,1.64,24.23,1.79,1.49,0,11.07,52.59,0.65,4.12,23.35,602.57,0,3.56,6.32,0,0,33.64,4.8,0,0.62,0,115.25,0,0,9.41,0,0
 48-58,0,0,0,0.4,24.15,4.15,0,270.76,0,5.2,9.98,20.43,9.25,0,0,5.22,4.54,0,1.03,6.13,78.36,0,3.51,14.96,301.24,3.26,1.72,9.63,0,0,19.04,0,0,0.73,0,47.52,0,0,4.4,0,1.48
 60-70,0.81,0,0,0,62.77,3.41,0,207.56,0.9,2.32,1.64,27.74,14.69,0,1.07,0.83,11.93,0,0,10.98,78.61,0,14.06,12.67,238.85,4.75,0,6.14,0,0,21.37,0,0,6.13,0,16.42,0,0,15.08,0,0
 72-82,0,0,0.54,0,22.57,7,0,101.95,0,1.46,7.23,40.1,6.98,0,1.05,6.59,0.53,0,1.41,21.24,93.41,0,5.87,15.99,157.23,0,4.21,6.73,0,0.71,13.34,0,0,0,0,7.11,0,1.01,29.92,2.85,0
 84-94,0,0,0,0.78,45.63,14.03,0.82,96.91,0,2.66,8.75,22.02,20.31,0,2.85,3.95,1.41,0,0.59,11.03,102.45,0.6,8.18,9.02,115.09,0,4.04,7.75,0,0,53.46,0,0,1.12,0,2,0.81,0,14.03,1.72,5.95
 96-106,0,0,0.61,0,36.95,8.35,0.67,86.76,0.64,5.47,1.54,41.65,16.91,0,2.89,6.11,1.39,0,1.96,6.09,102.59,5.58,0,16.89,110.96,2.91,0,3.09,0,0,22.22,0,0,0,0,5.85,0,0.68,32.62,4.02,11.11
108-118,0,0,1.61,0.61,67.06,17.08,3.02,71.46,0,6.53,8.75,60.65,19.65,0,0,12.44,3.14,0,0.43,27.98,135.66,0,11.47,21.9,167.2,1.85,7.7,8.6,0,2.29,54.58,0,0,0.76,0,9.41,3.53,0,22.44,10.14,7.1
120,0,0,0,0,87.41,23.37,0,101.33,0,16.91,3.46,105.32,19.81,0,1.54,23.97,8.14,2.23,7.88,12.01,224.31,0,3.46,22.9,240.98,4.72,8.4,12.65,0,7.11,62.78,0,0,2.28,0,0,1.09,0,26.68,16.37,3.15
