stage,endoderm,epidermis,eye,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0
 14-21,0,0,1.41,0,0,0,0,0,0,1.29,0,0,0,0.83,0
 24-34,0,3.35,0.82,0,0,0,0,0,0,41.03,0,0,0,3.83,0
 36-46,0,0,0.66,0,0,0,0,0,0,80.45,0,0,0,6.91,0
 48-58,0.43,0,0.52,1.3,0,0,0.42,0.5,0.97,126.65,0,0,0,8.74,0
 60-70,0,4.61,8.5,0,5.1,0,0,0,0,243.53,0,0,0,10.28,0
 72-82,0.75,0,19.25,2.3,0,0,0,3.15,0,295.22,0,1.32,0,26.29,4.43
 84-94,1,0,19.52,4.03,0,0,0,0.91,0,212.63,0,3.81,6.91,19.08,1.5
 96-106,0,0,17.85,5.78,0,0,0,9.48,0.89,265.7,0,0,2.13,11.2,0
108-118,2.74,0.93,11.19,2.55,0,0.64,0,5.38,0,307.94,1.74,1.53,0,8.35,0
120,0,3.92,17.02,22.48,0,0,0,0,0,558.8,4.59,3.91,2.19,10.6,0
