stage,endoderm,epidermis,eye,gut,mesenchyme,muscle,neural,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,4.73,0,0,0,0
 14-21,0,2.32,0,0,0,1.06,1.29,10.04,0,1.96,0
 24-34,0,0,0,0.82,0.79,0,3.01,1.72,0,1.35,0
 36-46,0,0,0,0,0,0,0,0.72,0,1.56,0
 48-58,0,0,0,0,0,0,0.91,0.4,0,2.62,0
 60-70,0,0.63,0,0,0,0,12.52,0.6,0,0.66,0
 72-82,0,0,0,0,1.82,0,1.3,0,0,2.8,0
 84-94,0,0,0.75,0,0,0,14.85,2.5,5.42,0,0
 96-106,0,0,17.95,0,0,0,18.58,2.07,0,0,0
108-118,0.74,0,21.4,0,0.94,0,14.17,0,0,0,1.03
120,0,0,0,0,0,0,30.27,5.79,0,0,0
