stage,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,5.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.43,0
 24-34,0,0,0,0,0,2.45,0,0,3.7,0,0
 36-46,0.65,0,0.72,0,0,0.63,1.09,0,2.17,0,2.72
 48-58,0,1.7,0,1.07,0,0,0,0,4.68,0,0
 60-70,1.28,2.12,0,0,0,5.78,0,0,0.82,0,1.25
 72-82,1.14,7.38,0,0,0.67,0,0,0,14.64,0,0
 84-94,2.54,3.54,0.9,0,0,1.84,0,0,18.65,0,0
 96-106,0,6.56,0,0,0,0,0,0.6,0.75,0,0
108-118,0,3.72,0.92,0,0,1.55,0,0,19.14,0,0
120,0,10.74,0,0,0,0,0,0,18.14,0,0
