stage,blastomeres,epidermis,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,taste
  5-6,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0
 14-21,0,0,0,0,0,0,3.4,1.37,0,0,0,0,1.75,0
 24-34,0,0,0,0,1.14,0,5.48,2.01,2.08,0,0,0.77,1.24,0
 36-46,0,0.58,0.7,0,1.57,0,4.26,0.73,0,0,0,0,0,0
 48-58,0,0,0,0,1.88,0,1.54,0,0.46,0,0,0,0,0
 60-70,0,0,0,0,12.83,0,3.79,0,6.14,0,0,0,0,0
 72-82,0,0,1.01,1.85,14.02,0,27.84,0.56,0.81,0,0,0,0,0
 84-94,0,0,0.78,0,18.53,0,47.6,3.68,0.59,0,0,0,0,0
 96-106,0,0.71,0.69,3.33,15.06,0,5.81,1.58,0,0,0,0,0,0
108-118,0,2.33,1.03,0,20.42,1.03,27.6,0,0,0,0,0,0,0
120,0,0,0,0,17.41,3.81,14.49,1.99,1.28,0,0,0,0,1.28
