stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,17.03,6.15,0,6.94,0,0,0,0,0,0,0,0
 14-21,0,2.32,0,0.83,0,0,0,0,0,0,0,1.19,0,0,0.81,13.69,0,0,0,0,0.93,0,0,4.23,2.77,0,0
 24-34,0,3.98,0.61,0.81,0,0.6,0,0,0,0,0,0,6.55,0,2.75,34.98,0.61,1.12,0,3.32,0,0.6,0,0,15.76,1.16,0
 36-46,0,3.87,0,3.26,0,0.67,0,0,0,0,0,0,5.99,0,1.39,53.12,0,0,0,9.29,0,0,0,0,2.94,0.72,0
 48-58,0,1.96,0.59,3.85,0,0,0.37,0,0,0,0,0,5.23,0,0.72,7.78,0,0,0,8.44,0,0,2.44,0,1.84,0.75,0
 60-70,0,0.63,0.6,2.67,0,1.4,0.97,10.66,0,0,0,0,9.28,1.79,0,19.91,0,0,0,10.58,0,0,2.94,0,1.8,0,0
 72-82,0,0.54,0,15.46,0,9.19,0,0,0,0,1.53,0,1.33,0,0,23.92,0,0,0,0,0,0,0,0,0,1.01,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,2.23,0,0,0,2.93,0,2.6,0.61,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.14,0,0,1.16,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.23,0,2.32,0.58,0.95,0,0,1.55,0,0,0,0,0,0,0.97,0,0,0,4.04,0,0,0,0,0.7,0,3.21
120,0,0,0,4.75,0,0,0,0,5.34,0,0,0,0,0,2.07,19.61,0,0,0,0,0,0,0,0,6.92,0,0
