stage,blastomeres,epidermis,glial,immune,mesenchyme,neural,spinal.cord,vasculature
 10-12,3.83,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.55,2.49,0
 24-34,0,0,0,0.87,0,2.37,1.8,0
 36-46,0,0,0,0,0,0.61,1.42,0.86
 48-58,0,0,0.94,0,0,0,1.48,0
 60-70,0,0,0,0,0.6,9.32,0,0
 72-82,0,0,0,1.24,0.62,0,0,0
 84-94,0,1.09,0,10.4,0,0.92,0,0
 96-106,0,0.8,0,7.56,0,0,0,0.59
108-118,0,0,0,5.61,0,0,0,0
120,0,0,0,6.75,2.05,1.36,0,0
