stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.89,13.49,149.67,45.5,0,207.36,0,0,0,4.76,1.91,7.36,0.92,0.91,0,0,0,1.76,1.83,81.37,0,0,86.84,1026.48,14.94,0.83,5.36,32.14,0,4.7,0,312.9,9.86,16.36,465.03,193.2,0,0,0,0,3.16
 24-34,0,3.62,22.02,2.91,0,238.54,3.84,0.62,1.47,6.41,1.69,1.11,0,2.18,1.66,3.39,2.03,3.54,3.49,114.92,0,2.64,32.69,656.03,0,0.98,14.82,0,0,10.92,0,1.19,1.38,3.71,48.19,79.19,0,0,6.01,0,4.64
 36-46,0,1.58,5.57,2.62,0,92.69,3.97,1.12,0,9.76,2.01,0,1.32,0.73,0,0,0.56,0,2.05,45.63,0,1.55,19.2,440.55,0,0.61,11.29,0,0.77,20.59,0,0,0,0,3.13,25.5,0,0,8.3,0,0
 48-58,0,0,13.98,0,0,127.98,1.18,1.55,1.21,26.76,11.73,0,0,0.4,0,0.82,0,27.7,1.32,32.4,0.57,2.38,38.49,287.28,2.38,3.55,0,0,0,11.03,0.65,0,0,0.46,0,23.22,0,0,4.18,0,0.51
 60-70,0,0,14.44,1.06,0,106.59,3.26,0,1.89,45.75,17.65,7.25,0.75,4.48,1.4,3.16,3.57,7.91,0,44.96,1.83,15.93,8.75,243.95,0,0,5.14,0,0,16.68,0.85,0,1.54,0,0,12.58,2.13,0,7.14,0,0
 72-82,0,0.56,11.41,2.72,0.56,61.06,3.2,0,2.45,27.35,12.23,0,1.66,5.56,3.08,2.9,1.48,1.32,0,77.96,0,4.69,18.94,149.64,0,2.31,3.81,0,0,18.85,0.56,0,0,0,0,14.77,0,0.76,5.05,1.27,1.88
 84-94,0,0,13.26,6.89,0,59.45,0.71,0.66,4.05,16.97,8.3,0,0,3.47,0,2.24,0.73,1.95,1.25,43.95,0.57,2.78,24.87,67.18,1.35,1.37,4.75,3.85,0,29.94,0,0,0,0,0,9.22,0,0.71,11.55,0,0.55
 96-106,0,0,12.3,5.22,0.59,44.1,3.32,0,1.3,24.9,3.47,0,3.6,10.5,1.47,0.72,1.94,3.3,0.69,61.81,0,0,23.93,61.17,0,1.18,0,0,5.13,40.66,0,0,0.82,0,0,2.36,2.09,2.12,4.97,1.68,0
108-118,0,0,24.23,7.01,4.81,51.37,0.62,1.99,2.22,28.75,4.79,0,1.12,12.67,0.86,4.55,3.04,1.99,0,76.16,0,2.2,23.18,155.43,2.56,3.59,0,0,0,37.36,0,0,1.06,1.21,0,1.51,0,2.36,13.88,1.51,4
120,0,0,83.37,20.91,1.6,105.87,1.47,7.86,3.43,85.06,1.28,0,3.83,25.26,1.02,9.41,2.07,5.65,0,145.05,2.21,2.75,45.72,294.67,6.73,1.26,2.56,0,4.22,46.57,0,0,0,0,0,5.59,1.39,0,8.8,4.9,0
