stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,19.55,4.61,0,0,4.35,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.86,0,0,0,9.63,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,4.46,0,2.75,4.59,0,0
 24-34,0,0,1.01,0,0,0,0,0,0,2.65,0,5.05,0.76,0,0,19.59,0,1.23,0.71,0,1.46,0,0.6,2.72,2.87,0.85,0
 36-46,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,17.64,0,0,0,0,10.78,0,0,0,4.89,0.66,0
 48-58,0,0,0.37,0,0.55,0,0,0.71,0,0,1.57,0.95,0,2.59,0,5.92,0,0,0,0,0,0,0.74,0,3.05,0,0
 60-70,0,0,0,0,1.43,0,1.67,0,0,0,0,1.75,0,0,0.76,15.73,0.63,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.63,0.64,0,0,0,0,0,0,0.83,0,0,0,5.42,0,0,0,0,1.72,0,0,0,1.61,0.61,0
 84-94,0,0,0,0,2.33,0,0,0,0,0,0,6.29,0,0,0,3.61,0,0,0,0,1.05,0,0,0,0,0,0
 96-106,2.28,0,0,0,1.91,0,0,4.35,0.56,0,0,6.64,0,0,1.24,6.11,0.66,0,0,0,0,0,0,0,0,0,7.43
108-118,0,0,0.44,0,0,0,0,0,0,0,0,0.44,0,0,0,4.17,0.47,0,0,0,2.74,0,0,0,0,0,0
120,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0
