stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,3.52,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0
 10-12,0,0,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.48,0,0,0,5.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,36.34,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,38.53,0,0,0,0,0,0,0,0.92,0,0,0,0
 24-34,0,0,0,0,0,71.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.38,0,0,0,0,0,0,0,0.83,0,0,0,0
 36-46,0,0,0,0,0,434.97,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,11.56,0,0,0,0,0,10.49,0,0.85,0,0,0,0
 48-58,0,0,0,2.9,0,1800.19,0,0,0,11.08,0,0.63,0,0,0,0,0,11.76,0,4.57,106.35,0,0,0,0,0.95,0.51,0,16.06,0,1.04,0,4.65
 60-70,0,0,0,0,0,1738.66,3.45,0,0.87,6.84,0,0,1.94,0,0,0,1.73,6.27,5.2,0.81,120.58,0,0,0,0,0,4.19,0,0,0,0,0,0
 72-82,0,0,0,5.37,5.46,927.37,0.55,0,5.8,2,0.89,0,5.07,0,0,0,0,5.83,0,0,20.77,0.91,0,0,0,0,0,0,0,0,2.79,0,3.17
 84-94,0,0,0,2.33,0,910.78,0,9.46,1.21,6.2,0,0,0,0.56,0,0,0,14.86,3.59,0.87,32.89,0,0,0,0,0,0.95,0.69,3.54,0.64,0,1.2,0
 96-106,0,0,0,4.95,1.86,644.76,8.94,0,0,3.4,0,0,0.68,0,0,0,0.73,19.96,0.7,0,49.09,0,1.19,0,0,1.03,1.38,0,0,0,0,0,0
108-118,0,0,0,1.81,0,720.43,0,0,0,10.07,0,0,0,0,0,0.69,3.28,0.76,0,0,32.52,0,0,0,0,0,10.36,0,0,0,0,0,0
120,0,0,0,5.45,3.56,840.31,0,0,10.35,4.95,0,0,0,0,8.53,0,8.88,17.08,0,3.4,69.62,0,0,2.28,0,9.62,0,0,0,0,0,0,0
