stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,2.15,13.14,0,0,0,0
 24-34,0,0.84,0,0.65,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0.85,0,0,1.92,0,0,0,0
 36-46,0,0,0,0,0,0.9,0,0.57,0,0,0,0,0,0,0,1.62,0,0.92,0.82,13.46,0,0,0,0,0,0,0,4.43,0,0,0,0
 48-58,0,0,0,0.41,0.41,1.19,1.01,0.44,0.61,0,0,0.94,0,0,0,0,0.64,0.37,0,17.78,0,0.51,0,0,1.46,0,0,4.46,0,0,0,0
 60-70,0,0,0,5.42,0,3.92,0,0,0,19.82,0,0,0,0,0,0,0,0,2.9,27.52,0,0,0,0.96,0,0,0,0,0,0,0,0
 72-82,0,0.62,0,0.56,0,13.31,0,1.14,0,21.3,0,0,0,0,1.04,0,0,5.07,0.59,44,0,0,0,0,1.84,0,0,3.18,0.57,0,2.3,1.88
 84-94,0,0,2.34,0,0,5.59,0.56,0,0.56,106.42,0,0,0,1.97,0,1.15,0,3.88,0,9.64,0,0,0,0,0,0,0,0.91,0,0,0,0
 96-106,0,2.33,50.37,1.31,0,21.78,4.01,1.52,4.05,187.82,0,0,0,0,0,0,0,18.77,0,248.71,0,0,0,0,5.59,0,0,0,0,5.89,0,0
108-118,0,0,68.9,2.58,1.65,0.62,1.25,0,6.25,252.64,0,0,0,1.07,0,3.2,0,6.57,1.17,192.11,0,0,0,0,2.15,0.85,0,1.4,0,1.97,0,0
120,0,0,36.57,1.56,3.55,8.49,2.8,0,0,172.79,0,0,2.21,0,0,65.11,0,21.21,0,299.57,4.18,0,0,0,14.41,0,0,0,0,0,0,0
