stage,epidermis,exocrine.pancreas,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0.9,0,4.4,0,0
 24-34,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,14.64,0,0,1.9,0
 48-58,0.57,0,2.61,0,0,0,0,0,0,0.91,1.1,0.59,0,0,0
 60-70,0,0,2.54,0,0,1.1,0,0,0,0,5.04,0,0,0.84,0
 72-82,0,1.83,0.72,0,0,0,0.98,0,0,0,11.78,0.58,0,0,0
 84-94,0,1.62,0.62,0,0,0,0,0,0,0,18.02,0,0,0,0
 96-106,0,2.47,0,0,0,0,0.79,3.09,0,0,0,1.99,0,0,0
108-118,1.42,3.96,3.43,0.53,0.65,0,0.71,2.74,0.5,0,5.76,0.43,0,0,0.58
120,4.55,0,11.44,0,0,0,0,0,0,0,0,4.53,0,0,0
