stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,54.45,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,0,71.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0
  7-9,0,0,13.1,0,0,5.01,0,0,0,0,0,0,0,23.67,4.51,0,0,5.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,0,11.16,0,4.61,0,0,0,0,0
 14-21,0,0,1.85,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0.9,0,0.81,7.35,0,0
 24-34,0,0,0,0,0.81,4.41,0,0,0,0,1.41,0,1.87,31.47,0,0,0.76,0,0.65,0,0,0,1.27,0,0
 36-46,0,0,0,11.4,0,6.31,0,0.79,0,0,4.43,0,0,13.19,0,0,0,0,0,0,0,0,4.86,0,0
 48-58,0,0,0,0,0,2.97,0,1.1,0,0,2.02,0,0,14.02,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.72,0,6.76,0,4.43,0,0,9.79,0,0,10.83,0,1.82,0,0,0,0,0,0,7.77,3.63,0
 72-82,0,0,0,0,0,12.77,0,0,0,0,1.63,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.19,0,0,0.55,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.33,3.4,0,0,0,0.7,0,0,0.77,0,0,0,0,0,0,0,0,0,1.37,0
108-118,0,0,0,2.33,0,0.72,0,0,0,0.99,0,0.62,0,3.44,0,0,0,0,0.81,0,0.97,0,0,0.62,3.48
120,0,0,0,0,0,15.38,0,0,0,0,4.38,0,3.44,3.41,0,0,0,0,0,0,0,0,0,0,0
