stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,0,0,32.39,0,0,0,0,0,0,0,0,0,0,0,0,0,160.38,0,0,0,23.84,0,0,0,0,20.92,0,0,0,0,0,0,0
 14-21,0,1.66,34.57,19.58,0,9.22,0,0,0,2.04,4.9,0,0,0,0,0,20.49,0,8.15,59.22,7.51,0,0,4.93,0,0,0.9,14.83,0,0.8,18.98,19.44,0,8.34,0,0
 24-34,0,0,7.32,2.44,0,36.91,0,0,2.17,0.87,0,0.67,0,0,0,0,41.79,0.82,16.35,120.19,3.23,0,3.89,0,0,0,0,0,0,0,5.92,26.48,0,47.91,0,0
 36-46,0,0,7.48,1.22,0,30.04,0,0,6.89,18.76,0,3.12,1.03,0,0,0,33.63,2.01,15.86,47.93,0,0,0.95,0,0.97,0,0,0,0,0,0,20.23,0,25.97,0,1.57
 48-58,0,0,3.9,0,0,49.8,1.37,0,7.09,10.17,0,8.64,0,0,0,0,95.38,6.53,13.79,44.82,0.59,0.39,1.17,0,0,0,0,0,0,0,0,18.98,0,21.4,0,0
 60-70,0,0,0,0,0,48.15,0,0,30.91,11.94,2.35,2.73,0,0,1.2,0,171.42,7.48,8.53,53.06,0,0,1.28,0,2.87,0,0,0,0,0,0,7.66,4.89,9.93,2.14,0
 72-82,0,0,5.31,0,1.22,63.92,0,0.62,25.63,12.33,0,17.48,0,0,0,0,237.42,29.94,16.11,73.08,0,0.58,2.46,0,5.06,0,0,0,0,0,0,1.93,8.98,29.13,16.22,6.66
 84-94,0,0,2.43,1.44,2.16,65.29,0,0,36.85,9.54,2.29,18.69,2.88,0,6.52,1.76,164.24,11.92,7.14,52.61,4.46,0,4.73,0,4.61,2.2,0,0,0.67,0.63,0,9.74,4.77,23.16,39.42,0
 96-106,0,0,9.86,0,0,38.42,1.43,0,7.01,5.74,1.86,14.62,1.55,1.03,0,0,179.92,27.14,6.95,32.17,0,0.81,3.55,0,19.1,0.65,0,0,0,0,0,2.99,6.66,15.83,31.72,0
108-118,0,0,2.56,0,1.98,52.39,0,4.35,9.34,18.91,0,3.98,0.56,0,0,0,177.62,5.11,4.39,59.33,0,0,6.6,0,14.55,0,0,0,0,0,0,0,4.34,36.93,26.45,4.23
120,1.19,0,4.38,9.23,1.14,72.43,0,1.44,58.99,16.7,0,13.43,0,0,0,0,199.12,70.65,1.9,65.96,0,0,3.55,0,11.97,0,0,0,0,0,0,0,10.65,22.48,25.07,0
