stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05,0,3.7,0,0,0,0,0,0,0,0
 10-12,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,2.15,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,1.05,0,0,0,0,0,0,1.31,0,0,0,1.77,0,0,3.27,0,0,1.5,0,0,0.66,0,0,0,0
 36-46,0,2.02,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,1.35,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.39,0.84,0,0.53,0,0,0,0,0,0,3.39,0,0,0.39,0,0.4,0,0,0,0,0.62
 60-70,0,0.8,0,0,0,8,0,1.47,0,0,0.84,0,1.46,5.14,0,0,0,1.62,0,0,0.64,0,0,0,0,0,0,1.56
 72-82,0,0,0,0,0,0,0,0.55,0,0,0.81,0,0,4.45,0.95,0,0,0.66,0,0,1.36,0,0,0,0.62,0,0,0
 84-94,0,0,0,0,0,0,2.04,0,2.12,0.59,0,0,0,0,0,0.94,0,1.84,0.76,0,5.49,0,2.39,0,0,0,0,0.55
 96-106,0,5.92,0,0,0,1.02,0.57,0,0,0,0,1.21,0,0.7,0,3.07,0,2.57,0.95,0,45.12,0,0,0,0,0,0.96,0
108-118,0,6.84,0,4.33,0.66,0,4.2,0,2.58,0.61,0,0,4.91,4.44,0.48,0,0,2.62,0,0,16.23,0,0,0,0,3.73,0,2.08
120,0,16.16,0,0,3.94,0,5.3,0,17.47,0,0,0,0,0,7.66,0,2.41,6,0,0,180.85,0,0,0,0,0,4.16,0
