stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,216.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0
  5-6,18.36,262.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8,0,0,0,27.36,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,25.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,1.8,16.75,8.55,0,12.15,0,0,5.43,2.49,2.04,0,0,0.86,0,0,0,0,22.38,0,0,7.06,213.92,0.89,2.43,1.85,11.69,6.29,19.02,0.88,19.29,60.12,0,0,3.6,0
 24-34,0,0,0,0.6,2.43,0,0,32.02,0.64,0.9,2.28,0,0,0,0,0,0,0,3.58,1.9,13.15,0,0,5.25,208.12,1.31,0,0,0,2.72,0,0.69,1.92,53.39,0,0,0.96,0
 36-46,0,0,0,0,1.71,0,0,43.12,4.59,0,6.3,0.57,0,0,0,0,0,0,0,0,10.53,0.68,0.72,3.61,130.51,0.69,0,1.03,0,0,0,0,0,34.19,0,0,0,0
 48-58,0,0,0.54,0,0,1.4,0,66.58,3.56,0,12.6,0,0,0,0,0,0,0,0,0,28.5,0,0.82,5.21,103.26,0,0,1.97,0,0.84,0,0,0,22.35,0,0,0.38,2.77
 60-70,0,0,0,0,7.21,0.57,0,39.25,0,0.86,9.75,1.72,0,0,0,0,0,0,6.95,0,16.53,0,0,2.21,58.93,0.93,0,0,0,2.74,0,0,0,15.28,0,0,0,1.96
 72-82,0,0,0,0,4.41,0,0,27.83,0,0.8,16.53,0,0,2.32,0,0,0,0.57,0,0,17.48,0,0,3.03,72.73,0,0,0,0,0,0,0,0,16.18,0,0,1.04,0
 84-94,0,0,0,0,1.36,2.48,2.25,18.62,0,1.96,3.75,0,0,0,0,0.6,0,0,0,0,16.21,0,0,1.83,18.02,0,5.31,2.1,0,5.56,0,0,0,1.77,1.37,0,0,0
 96-106,0,0,1.08,0,5.13,0,0,12.28,0.86,0,6.83,0.56,0,0.87,0.59,0.63,0.63,1.55,0.62,0,24.96,0,2.17,1.8,50.36,0,0,3.02,0,2.57,0,0,0,0,0,1.3,6.07,0
108-118,0,0,0,0,2.72,1.18,0,24.94,0,0,6.9,0.48,0,0,0.47,0,0,0.51,0,0,13,0,2.51,1.41,78.57,0,0,2.01,0,3.21,0,0,0,1.48,0,0,3.82,0
120,0,0,0,0,4.26,0,0,57.43,5.81,0,10.35,0,0,0,0,0,0,2.12,1.42,0,39.46,0,0,0,76.97,0,2.88,0,0,1.66,0,0,0,0,0,0,0,0
