stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.4,0,0,0,3.55,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,0,0,0,3.02,0,2.92,0,1.19,0,0,0,0.82,0.8,0.86,0,0,0
 24-34,0,0,0.77,0,0,0,0,3.42,0,12.41,0,0,0.72,0,0,0,0,0.68,0,0,0
 36-46,0,0,0.61,0,0.59,0,0,0,0,8.93,0,1.3,0,0,0,0,0,3.71,0,0,0
 48-58,0,0,7.2,0.37,0,0,0,0.76,0,9.28,0,0,0,0,0,0,0,4.16,0,0,0
 60-70,0,0,3.08,0,3.53,0,0,0,0,4.83,0,0,0,0,0,0,0,2.2,0,0,0
 72-82,0,0,2.78,0,3.28,0.69,0,0.89,0,16.4,0,0,0,0,0,0,0,1,2.63,0,8.23
 84-94,0,0,5.71,0,0,0,0,0.56,0,14.55,0,0,0,0,0,0,0,0.87,0,0,0
 96-106,0,0,0,0,0,0,0.95,0,0,2.22,0,0,0,0,1.61,0,0,0,0,0,0
108-118,0,0,0,0,1.55,0,0,0,0,13.81,0.47,0,0,0,0.48,0,0,1.12,0,0,0
120,0,5.74,0,0,0,0,0,2.44,2.4,0,0,0,0,0,0,0,0,0,0,9.85,0
