stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,271.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.46,0,0,0,0,0,0,0,0,0
  5-6,24.34,694.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,14.6,0,28.11,0,0,0,0,0,0,0,0,0
  7-9,35.19,22.19,0,19.23,0,0,0,50.59,0,0,0,0,0,34.76,0,0,0,0,0,0,0,0,0,0,0,604.06,27.16,0,0,329.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.25,0,60.57,0,0,0,118.64,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,753.6,41.63,0,0,315.32,0,0,0,73.19,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,25.02,4.14,0,14.19,0,0,0,2.95,0,0,0,0,1.79,0,0,0,0,5.3,0,0,11.99,138.99,2.76,0,4.36,3.17,0,3.61,22.09,0.89,18.84,37.19,0,0,5.66,0,0
 24-34,0,0,0,1.52,12.14,0,0,24.31,0,0,0.68,2.99,0,0,0,0,1.73,0,0,0,0,36.94,0,0,14.11,284.81,7.83,1.71,0.61,0,0,20.57,0,0,4.03,67.53,0,0,16.59,0,1.89
 36-46,0,0,0,0,6.8,0,0,78.04,0,5.13,1.91,27.32,0,0,2.16,0.67,0.67,1.11,0.89,5.6,10.3,34.22,0,0,8.99,342.58,0,3.56,8.61,0,0,42.24,0,0,0,83.87,0,0.62,9.9,0,1.45
 48-58,0,0,0,0,10.75,0,0,68.9,0,0,3.52,36.34,0,0,0,0,0.4,0,0.59,0,1.38,49.64,0.96,1.03,14.41,246.74,2.55,2.57,8.6,0,0,14.96,0,5.81,0,57.18,0,0.64,10.03,0,9.06
 60-70,0,0,0,0,8.93,0.57,0,187.74,0,7.52,3.06,40.89,1.64,0,0,0.94,0,5.65,4.85,0,2.31,105.43,4.8,5.04,9.3,300.1,0,5.25,6.13,0,0.82,17.25,0,0.58,0,82.99,0,0.63,10.47,0.71,3.57
 72-82,0,0,0.87,0,9.45,9.26,0,111.52,0,0,4.75,26.85,1.43,0,1.66,2.69,0.52,0,0.67,0,1.89,103.69,0.55,0,3.03,276.83,3.35,2.77,4.38,0,0,20.02,0,6.02,0,23.44,0.53,4.77,13.69,0,17.03
 84-94,0,0,1.46,0,17.67,15.21,0,90.18,0.79,4.58,2.33,14.99,3.23,0,0,4.91,0.82,0.82,0.66,0,0.96,52.38,6.89,0,3.75,158.46,2.15,8.39,1.29,0,0,43.67,0,0.67,0,27.63,0,0.84,7.09,0.77,0
 96-106,0,0,1.56,0,5.02,30,0,48.1,0,2.57,2.13,35.14,3.76,0,0,7.81,1.26,1.42,1.52,0,0.6,55.28,0,0.78,3.13,176.97,0,4.15,0.98,0,2.81,57.5,0,0,0,11.7,0.61,4.75,16.01,5.64,1.24
108-118,0,0,0,0,13.99,5.79,0.56,65.23,0,3.28,4.71,19.75,6.6,0,0,2.44,4.85,2.84,0.47,0.5,1.34,84.49,7.32,0,8.19,137.54,2.09,1.76,3.94,0,0,32.42,0,0,0,19.93,2.97,1.53,21.1,1.28,4.82
120,0,0,0,0,29.64,3.03,0,71.26,2.24,10.05,1.58,13.72,1.38,0,1.85,9.6,6.91,4.85,8.81,3.84,0,56.3,0,1.38,0,195.35,0,5.83,6.11,0,0,20.24,0,9.01,0,11.34,3.81,0,18.47,8.56,0
