stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,17.96,0,0,0,9.59,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,66.18,0,0,0,11.62,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,6.21,0,0,0,0,1.13,0,17.18,0,0,0,0,0,0.82,1.81,0,3.3,0,0
 24-34,0,1.05,0,0,0,5.02,0,0,0,0,0.69,0,0,0,2.04,4.38,66.8,0,0,0.74,0,0,0,0,0.62,32.28,0,0
 36-46,0,0.85,0,0.7,0,1.95,0,0,0.87,5.36,0,0,0,0,10.51,0,275.95,1.33,1.64,0.75,0,0,0,6.12,0,58.72,0,0
 48-58,0,0,0,2.08,0,12.67,0,0,0.5,11.17,0,0,0,0,4.54,1.01,404.11,0,0,0,0,0,0,0,0,63.43,0,0
 60-70,0,0,0,0.7,0,42.81,0,0,0.93,13.88,0,0,0,0,2.78,2.27,470.11,0.63,0,0,0,3.73,0,0,0,41.01,0,4.59
 72-82,0,0,0,0.87,0.89,27.34,0,5.41,0,13.99,0,7.99,0,2.6,4.35,0.59,389.2,0.53,0,0,0,0,0,0,0,30.67,0,0
 84-94,0,0,0,5.18,0,24.02,1.21,0,0,6.44,0,0,11.32,0,12.74,0,277.46,0,1.26,7.83,0,0.58,0,0,0,22.52,1.75,0
 96-106,0,0.63,0,0.85,0,9.68,1.19,0,0.64,8.32,0,0,0,0,2.62,0,249.56,0,0,0,0,0,0,0,0,15.42,0,2.49
108-118,0,0,0,1.34,1.34,28.53,0,0,2.16,19.52,0,0,0,0,23.53,0,274.13,0.53,0,0,0,0,0,0.51,0,8.16,0,0
120,0,0,0,1.21,5.85,28.32,0,0,0,43.05,0,0,0,0,7.12,0,437.87,0,0,0,0,0,0,0,0,18.7,0,0
