stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,72.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.61,4.72,5.99,0,0,0,5.58,0,0,0,0,0,16.65,0,0,0,0,0,0,0,0,0,0,0,83.64,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.15,7.2,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849.46,0,0,0,29.32,0,0,0,0,7.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.23,1.7,0,6.95,0,0,0,0.96,0,3.94,0,0,2.7,0,0,0,0,8.34,0,0,1.45,913.43,0,9.16,2.2,0.94,0,0,0,3.62,3.87,1.32,8.06,843.29,0,0,0,0,0
 24-34,0,0,0,1.88,0,0,43.56,0,0,0,4.6,0.67,0,0,0,0,0,2.07,0,0,8.24,0,0,2.39,823.52,0,39.98,5.64,0,0,0,0,0,0,0,1.38,418.71,0,0,0,0,0
 36-46,0,0,0,0,0,0,947.82,0,10.34,0,23.67,0,0,1.21,0,0,7.36,0,0,0,10.16,1.26,0.56,5.09,5222.24,0,33.01,4.32,0,0,4.01,0,0,0,0,0,256.85,0,0,0,0,0
 48-58,0,0,0,17.15,0,0,1404.13,0,1.36,1.06,45.28,0.45,0,0,1.85,0,0.98,2.47,0,1.32,45.97,0.41,0.66,7.37,6267.93,0,6.62,5.92,0,0,12.19,0,0,0,0,0,397.3,0,0.42,4.85,0,9.91
 60-70,0,0,0,2.73,0,0,544.23,2.16,0,0,66.14,0,4.08,0,1.33,0,0,16,0,0,25.32,0,2.24,4.78,5087.14,5.22,2.8,4.93,0,1.53,16.56,0,0,0,0,0,204.79,0,0,2.37,4.07,8.91
 72-82,0,0,0,25.62,0.5,0,516.11,0,3.66,7.08,49.95,0,0,2.33,0.59,0.63,0,13.83,0,0,54.68,0,4.11,5.53,4090.57,0,5.6,9.58,0,0.8,1.87,1.65,0,0,0,0,138.1,1.34,0.51,4.91,0,0
 84-94,0,0,0,35.42,0.99,0,372.97,1.58,0.56,21.81,44.69,0.61,0,0,0.77,2.45,0.75,20.88,6.68,0,22.22,3.49,3.5,4.96,2486.75,0,10.95,14.97,0,0,2.54,0,0,0.64,0,0,86.41,0,4.28,2.99,3.28,0
 96-106,0,0,0,26.38,5.59,3.72,211.66,0.79,0,1.74,58.85,2.28,0,0.91,0.58,0,0,33.89,0,0,43.92,0,1.68,6.45,2124.63,0,4.58,25.04,0,0,7.24,0,0,0,0,0,48.76,1.13,2.7,6.69,1.73,4.64
108-118,0,0,0,61.65,5.24,0.5,313.72,0.65,0.88,1.73,30.57,1.96,0,3.21,3.37,0,4.96,27.11,3.19,0,52.83,0,0.62,3.93,3086.68,1.03,5.4,19.31,0,0,6.56,0,0,0.64,0,0,28.43,0,0,3.82,0,0
120,0,0,0,33.56,16.6,0,492.22,0,0,8.58,75.22,11.15,0,0,3.91,0,0,15.85,0,0,48.23,0,11,0,2829.73,0,12.71,63.08,0,0,4.69,0,0,0,0,0,16.31,0,0,6.49,0,0
