stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.24,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,0,0,0,7.04,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,0,4.38,0,0,0,0,41.32,0,0,0
 24-34,0,0,4.07,0,0,0,10.25,0,0,0,0,2.27,0,0.6,0,0,0,2.01,0,0,1.14,710.95,0,27.68,0,0,0,0.9,148.03,0,0,0
 36-46,0,0,0,0.64,0,0,134.11,0,0,15.43,0,0,0.63,0.81,0,0,0,2.22,0,0,0,2010.15,0,14.17,0,0,5.63,0,279.02,3.86,0,0
 48-58,0,0,0,1.91,2.19,0,362.42,15.15,0.57,44.29,0,0,1.53,0,0,0,0,5.04,0.55,0,0.44,2329.72,0,11.86,0,0,0.93,0,333.81,0,0,5.13
 60-70,0,0,0.57,1.99,0,0,724.37,0,0,34.93,0,0,1.03,5.24,0,0,6.87,15.34,0,0,0,2692.08,0,1.62,0,0,1.25,0,343.27,0,0,0
 72-82,0,0,1.37,6.3,1.09,0,568.94,0,0,36.51,1.83,0,0,0,0,0,0,11.18,0,1.05,1.56,2121.11,0,15.48,2.13,0,0,0,216.11,0,0,11.74
 84-94,0,0,5.28,16.52,0,0,422.03,0,0,16.86,0,0,1.78,0.65,4.69,0,0,16.96,0,0.58,0,1268.45,0,4.84,1.26,0,16.01,0,181.15,0.97,1.27,6.4
 96-106,0,0,1.8,11.06,2.41,0,379.06,0,0,50.9,0,0,0,0.71,0.75,10.24,0,20.46,0,0,0,936.73,0,22.56,1.39,0,0,0,73.54,1.37,0.61,8.84
108-118,0,0,5.83,16.05,0,0,332.96,3.93,0,40.43,0,0,1.1,0,0,0.7,0,11.89,0,0,0,1487.49,0.43,14.91,0,0,0.83,0,38.93,0.56,0,4.11
120,0,0,4.41,26.94,2.63,3.69,402.76,0,0,49.1,0,0,0,3.15,0,8.61,0,2.9,0,0,8.35,2211.76,3.89,16.98,0,0,2.96,0,65.68,7.52,0,0
