stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,0,0,37.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,17.43,0,0,6.03,0,0,0,0,0,0,0
 14-21,0,2.83,0.9,0,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0.91,0.9,0,0,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0.84,0,0,0,0,14.84,0,0,0,0,0,6.49,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0.8,0,3.05,0,0,0,0,6.3,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.89,0,0,0,0,6.98,0,3.18,0,12.35,0.91,0,0,0,13.47,0,0,0,0,1.29,0.5,0,0
 60-70,0,2.23,0,3.78,0,1.33,0,0,3.14,0,0,0,0,16.99,0,10.74,0.67,8.49,0,0,0,1.03,43.83,0,0,0,0.92,7.38,0,2.53,0
 72-82,0,0.68,0,4.72,0,0.66,0,0,0,0,0,0,1.65,23.81,0,13.63,0,11.06,0,0.77,0,0,52.57,0,0,0,0,10.05,0,7.01,0
 84-94,0,1.2,0,5.06,0,0.62,0,0,3.2,0,0,0,0,10.48,0,19.91,0,22.18,0,0,0,0,127.41,0,0,0,0,12.46,0.58,7.95,0
 96-106,0,10.34,2.03,1.6,0,1.97,3.24,3.87,2.07,0.65,0,0,0,35.83,2.24,8.78,4.13,14.34,0,0,0,1.17,158.51,0,0,0,2.66,9.35,0,20.4,6.26
108-118,0,3.4,0,7.8,1.99,1.37,0,0,2.24,1.38,1.64,0,5.26,40.12,1.62,20.99,0,17.93,0,0,0,8.98,171.38,0,0,0,2.04,4.2,8.84,17.49,0
120,0,8.33,0,5.08,0,0,0,0,1.65,0,0,3.39,0,57.85,2.05,131.73,0,9.54,0,0,0,0,97.18,0,0,0,16.38,1.56,0,42.63,0
