stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,neural,paraxial.mesoderm,spinal.cord
  3-4,0,34.15,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.67,0,0,0,0,0,0,0,0,0,0
  7-9,5.61,0,0,0,0,0,0,0,0,4.05,28.85,0
 10-12,0,0,0,0,0,0,0,0,0,7.27,0,0
 14-21,0,0,1.11,1.04,0,0,0,0,0,0,0,1.91
 72-82,0,0,0,0,0.7,1.04,0,0,1.71,19.77,0,0
 84-94,0,0,0,0,0,0.62,0,0,0,17.08,0,0
 96-106,0,0,0.65,0,0,0,1.16,5.49,1.05,1.32,0,0
108-118,0,0,0,0,0,2.01,5.76,0,1.8,22.29,0,0
120,0,0,0,0,0,4.62,0,0,0,13.04,0,0
