stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.59,648.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.58,0,0,0,0,0,0,0,0,0,0
  5-6,13.21,288.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17,0,0,0,10.01,0,0,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,5.8,0,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0.86,0,0,0,0,0,0,0,0,1.34,1.97,4.31,0,0,0,0,0,0,0,1.68,0,0,0,0,0,20.47,0,0,1.72,0.8,4.75,0,0,0,0,0
 24-34,0,0,0,1.61,1.41,0,0.8,0,0.82,0.72,0,0,0,4.88,11.66,0,0.63,0.92,2.12,0,0,1.63,18.28,0,5.95,6.34,0,0,116.73,0,0,0.76,1.43,4.77,0,0,0,0,0
 36-46,0,0,0,4.4,0,0,0.69,0,0,0,0,0,0,15.89,1.63,0,0,0,1.95,6.55,0,4.83,43.56,0,14.76,12.1,0,0,256.99,0,0,0,0,3.6,0,0,0,0,0
 48-58,0,0,0,0,0,0,10.39,0,0.37,0,0,0,0,4.31,5.13,0,3.38,0.38,1.81,3.79,0,1.79,23.3,0,1.77,1.47,0,0,143.44,0,0,0,0,5.25,0,0,0.38,0,2.62
 60-70,0,0,0,5.47,0,0,15.01,0.58,1.59,0,0.71,0.85,0,8.7,1.13,0,9.06,0,4.52,0.75,1.92,0,28.95,0,2.24,4.37,0,0,189.7,0,0,0,0,3.49,2.51,0,0,0,0
 72-82,0,0,1.64,5.01,0,0,15.23,0,3.26,0,0,2.66,0,5.38,7.79,3.06,2.4,0,2.27,4.31,0,1.02,36.15,0,5.6,4.31,0,0.71,94.04,0,0,1.5,0,3.49,1.35,0,0,0.71,0
 84-94,0,0,2.22,15.19,0.92,0,17.55,1.05,3.69,0,4.62,2.36,0,27.88,11.8,0,2.85,0,0,2.08,0,2.67,25.02,0,0.64,11.68,0,0,273,0,0,0,0,0,2.21,0,0,0,0
 96-106,0,0,0,19.47,0,0.95,12.54,0.71,1.95,0,0.99,10.53,0,24.24,10.04,0,9.66,0,7.75,10.9,0,0,39.69,0,2.85,7.11,0,0,173.13,0,0,0,0,0,3.09,0,0,0,0
108-118,0,0,3.32,24.8,4.61,0.5,2.41,0,2.85,0,2.79,7.64,0,22.55,9.55,0,4.19,0,6.68,9.44,0,0,37.06,0,5.68,6.46,0,1.32,155.46,0,0.52,0,0,0,3.79,0.66,5.39,0,0
120,0,0,7.01,33.93,0,2.74,27.89,0,1.57,0,0,11.59,0,34.11,19.88,0,5.51,0,2.81,3.25,0,0,38.74,0,0,27.03,0,0,174.11,0,0,0,0,0,0,0,0,0,0
