stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,23.77,0,0,0,1.2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0.94,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.93,0,0,0,0.57,0,0,0,20.23,0,0,0,4.08,0,0,0,0,0,1.14,0,0,0
 48-58,0,0,0,0,7.16,0,0,0,0,0,0,0,36.49,0,0,0,2.45,0,0,0,0,0,0,0,0,0
 60-70,0.62,2.63,0,0,0,0,0,0,0,0,0,0,22.43,0,0,0,3.53,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,7.87,0,0,1.81,0,0,0,0,75.5,0,0,0,9.85,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.7,0,6.23,0,0,2.27,0,0,0,0.67,198.8,2.12,0,0,8.58,0,0,0,0,0,0,0,0,0
 96-106,0,1.96,0,0,21.49,0,2.03,2.23,0,0,0,0,413.07,8.85,0.84,0,36.86,0,0.86,7.85,9.53,0,0,0,0,0
108-118,0,0,0.97,0.92,13.59,0.91,0,0.6,0,0.71,0.59,0,683.28,10.17,0,0.65,38.42,0,0.71,0,6.62,0.44,0,0.96,3.77,1.05
120,0,0,0,0,15.92,0,0,13.05,1.24,3.81,0,0,403.9,6.12,0,0,60.24,0,3.16,0,0,0,0,0,0,0
