stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites
  3-4,0,517.42,0,0,0,0,0,0,0,42.94,0,0,0,0
  5-6,56.32,961.37,0,0,0,0,31.17,11.17,26.02,0,0,0,0,0
  7-9,22.57,34.29,79.55,0,213,9.55,1440.44,33.03,451.22,0,15.54,0,0,0
 10-12,0,113.78,131.28,11.33,197.27,40.09,2242.41,25.78,1149.29,0,8.65,15.49,134.21,16.87
