stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,71.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.65,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.72,0,0,0,0,0,0
  7-9,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,78.23,0,0,0,23.62,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,70.83,5.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.26,0.91,0,0,0,0,0,0,0,0,0,0.92,0,0,53.57,0,0,0,0,0,0.88,0,36.98,0,0,0
 24-34,0,0,0,1.86,3.75,0,0,0,0,4.01,1.63,0,0,0,0,0,0,419.71,0,2.23,0,0,0,0,0,129.73,0,0,0
 36-46,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,1.21,0,0,1127.32,0,4.56,0,0,2.7,0,1.69,222.52,0,3.51,0
 48-58,0,0,0.54,0.83,22.37,0,0,5.35,0,0,0,0,0,0,4.11,0,0,1379.22,0,4.09,0,0,0,0,0,172.67,0,2.62,0
 60-70,0,0,0,2.05,56.81,0,0,4.74,0,0,0,0,0,0,4.48,0.89,0,1536.9,0,1.99,0,0,0,0,0,225.52,0,0,0
 72-82,0,0,0,1.85,67.5,0,0.75,3.96,0,0,0,0,0,0,8,0.88,1.17,1202.03,0,0,0,0,0,0,0,129.18,0,2.23,0
 84-94,0,0,0,0,26.03,0.68,1.18,6.34,0,0,0.64,0,1.66,2.93,0.9,0,0,764.38,0,5.68,0.86,0,3.08,0,0,92.71,0,2.01,0
 96-106,0,0,0,0.76,58.71,0,0,2.78,0.72,0,0.69,0,0,0,4.42,0,0,621.78,0,10.03,0,0,0,0,0,29.34,0,2.08,8.81
108-118,0,0,0,3.25,62.91,0,0,12.2,0,0,0.59,0.42,2.32,0,1.99,0,0,594.33,0,0,0.81,0,0.73,0,0,26.06,0.68,2.22,0
120,0,0,0,1.28,78.89,0,0,43.12,1.69,0,0,0,0,0,2.34,0,0,829.71,0,2,0,0,0,0,0,12.39,0,0,0
