stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.26,0,14.71,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,42.16,0,5.16,0,0,0,0,0,0
 14-21,0,0,14.06,301.92,1.91,0,0,0,0,3.42,33.95,0,2.06,0,1.93,51.47,0,0,3.31,1.95,1.91,1.38,0,350.63
 24-34,0,0,0,44.06,1.07,0,0,0,0,5.2,49.13,0,0,0,0,5.38,0,0,3.1,1.58,0,0,0.63,572.09
 36-46,0,0,0.71,0,0,0,0,4.63,0,4.92,3.74,1.09,0,0,0,6.94,0,0,0,0,0,0,0,303.21
 48-58,0,0,0,15.37,5.87,0.42,0,0.75,0,4.61,0,0,0.51,0,0,21.04,0,0,0,0,0,0,0.89,183.8
 60-70,0,0,1.58,15.48,0,0,0,0,0,20.33,0.68,0,4.13,0,2.21,9.55,0,0,0,0,0,0,0,232.46
 72-82,0,0,0,0,0,0,0,0,1.25,8.91,0,0,7.33,0,0,3.94,0,0,0,0,0,0,0,251.17
 84-94,0,0,0,0,3.17,0,0,0,0,9.37,0,0,1.13,0,0,1.59,0,0,3.86,0,0,0,0,300.52
 96-106,0,0,0,0,2.94,0,1.02,0,1.7,11.2,0,7.1,5.28,9.69,1.93,8,0,0,0,0.6,0,0,0,356.19
108-118,0,0,2.45,3.17,5.19,0,0,2.73,0,9.87,0,0,9.85,1.31,0,0,0.42,0,0.41,1.13,0,0,0,309.07
120,1.19,0,0,0,0,0,0,4.11,0,42.76,0,0,0,2.4,0,11.82,0,0,4.52,0,0,0,0,243.14
