stage,axial,blastomeres,erythrocytes,eye,fast_muscle,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,32.01,753.96,0,0,0,0,0,0,0,0,0,0,0,64.84,0,0,0,0
  5-6,6.98,127.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,9.19,0,0,0,0,11.3,0,0,0,1.77,19.47,0,0
 24-34,0,0,0.66,0.79,0,4.4,0,0.85,0,0,14.52,0,0,0,0,5.65,0,0
 36-46,0,0,0,7.19,0,2.11,0,0,0,0,8.46,0,0,0,1.02,4.92,0,0
 48-58,0,0,0,41.44,0,0,0,0,0,0,6.75,0,0,0,0,1.59,0,0
 60-70,0,0,0,346,0,0,0,0,0,0,16.27,0,1.43,0,0,1.8,0,0
 72-82,0,0,8.73,629.39,0.65,0,0.51,1.71,0,0,20.62,2.3,0,1.03,0,2.69,2.54,3.16
 84-94,0,0,0,665.49,0,9.92,1.54,2.44,0.57,0,3.18,0,0,2.63,0,1.08,0.64,0
 96-106,0,0,1.9,529.66,0,2.23,3.12,3.97,0,0.84,5.72,0,0,0,0,0,0,0
108-118,3.95,0,0,422.05,0,3.11,0,7.3,0,0,15.47,0,0.77,0,0,0,1.75,3.13
120,0,0,0,335.67,0,0,2.14,0,0,0,24.24,0,0,0,0,3.82,0,0
