stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord
  3-4,177.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.15,0,8.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.04,3.99,4.96,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.99,0,0,0,0.81,0,0,0
 24-34,0,0.64,1.3,0,0,0.71,1.86,0,0,0,0,0,0,0.81
 36-46,0,0,0,0.61,0.97,0,10.47,0,0,0,0,0,0,1.63
 48-58,0,0,0,0.76,0,0,0.99,0,0,0,0,0.47,0,2.22
 60-70,0,0,0,4.4,0,1.59,4.09,0,0,0,0,0,1.33,0
 72-82,0,0,0,0.58,0.89,0,1.07,0,0,0,0,0,0,5.58
 84-94,0,0,1.06,1.5,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.61,0,0,7.17,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.24,0,0,0,0
