stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,neural,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  5-6,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0.83,0
 36-46,0,0,0,0,8.84,0,0,0,0,0,1.51,0,2.65,0,0.75,0,0,0
 48-58,0,0,0,0,72.56,0,0,0,0,0,0,0,0.54,0.52,0,0,0,0
 60-70,0,0,0,0,238.11,0,0,0,0,0.77,0,0,2.93,2.21,0,0,0,0
 72-82,0,0,0.5,0,242.47,0,0.79,0,0,1.38,0,0,9.06,3.57,0,0,1.12,0
 84-94,0,0.81,0,0,326.89,0.56,0.68,0,0,0,0,0,1.09,8.58,0,0,0,1.26
 96-106,0,0,4.55,0,165.9,0,0,0,0,4.09,0,1.45,7.53,6.4,1.82,0,0,0
108-118,0,0,0,0.56,158.59,0,2.01,0,0,3.28,0,1.6,8.3,12.13,0.61,0.42,0,0
120,0,0,0,0,198.74,0,0,0,0,4.83,0,0,0,6.75,1.03,0,0,0
