stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,11.47,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.2,7.78,0,3.78,0
 14-21,0,6.7,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,0,0.9
 36-46,0,0,0,0.61,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.85,0,0.64,0,0,0,0,0,0,0
 72-82,0,0,0.66,0,0,0,0,0,0.87,0,0,0,0.82
 84-94,0,0,0,0,0,0,0.66,0,0,0,0,0,2.09
 96-106,0,0,0,1.14,0,0,0,1.14,1.45,0,3.9,0,0
