stage,epidermis,eye,mesenchyme,neural,olfactory,pericytes,spinal.cord
 24-34,0,0,0,3.84,3.5,0,0
 36-46,0,0,0,1.65,2.37,0,0
 48-58,0,0,0,7.05,0,0,0.77
 60-70,0.67,0.72,0,5.3,0,0,0
 72-82,0,0.77,1.14,10.64,2.13,0,0
 84-94,0.91,0,0,5.53,0.71,0,0
 96-106,1.17,0,2.35,2.09,0,0,0
108-118,2.79,2.82,0.61,9.68,0,1.91,0
120,1.6,0,0,30.74,1.29,0,0
