stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,iridophores,mesenchyme,neural,olfactory,somites,spinal.cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,3.29,0,0,0,0
 14-21,0,4.42,0,0,0,5.24,0,0,11.06,0,0,4.21,0
 24-34,0,0,0,0,0,0,0,0,63.24,0.77,0.75,15.82,0
 36-46,0,0,2.18,1.07,0,0,0,0.81,93.78,4.29,0,18.4,0
 48-58,0,0,0.92,0.76,0,0,0,1.1,123.16,2.05,0,18.97,4.72
 60-70,0,0,4.99,0,0,0,0,1.1,196.3,4.19,0,7.98,0
 72-82,0,0,6.66,3.72,0,0,0,0,165.89,1.14,0,4.34,0
 84-94,1.18,0,2.22,1.86,0,0,0,1.07,106.23,0,0,4.04,0
 96-106,0,0,0,1.17,0,0,0,0.94,73.01,0,0,4.18,0
108-118,0,0,6.41,1.26,0.67,0,1.9,0,74.87,1.19,0,2.91,0
120,0,0,10.59,0,0,0,0,2.34,68.79,4.78,0,0,0
